original_id	display_species	family
YS-BGY-1-H_k79_18_flag1_multi23607.0000_len1568_Pennahia_macrocephalus	Pennahia macrocephala	Sciaenidae
YS-BJ-1-H_k39_105_flag1_multi10434.0000_len1561_Nematalosa_japonica	Nematalosa japonica	Clupeidae
YS-CC-1-H_k59_16_flag1_multi37307.0000_len1554_Psenopsis_anomala	Psenopsis anomala	Centrolophidae
YS-CHLT-3-H_k39_35_flag1_multi14420.0000_len1571_Thryssa_setirostris	Thryssa setirostris	Engraulidae
YS-CTSZ-2-H_k39_216_flag1_multi27088.0000_len1576_Saurida_elongata	Saurida elongata	Synodontidae
YS-DHY-2-P_k39_106_flag1_multi11193.0000_len1573_Ilisha_elongata	Ilisha elongata	Pristigasteridae
YS-DLLY-1-G_k59_18_flag1_multi5672.0000_len1235_Kumococius_rodericensis	Kumococius rodericensis	Platycephalidae
YS-DSLT-1-H_k59_15_flag1_multi47522.0000_len1572_Thryssa_kammalensis	Thryssa kammalensis	Engraulidae
YS-DSLT-5-H_k59_17_flag1_multi36926.0000_len1571_Thryssa_dussumileri	Thryssa dussumieri	Engraulidae
YS-DZTT-1-B_k39_167_flag1_multi29903.0000_len1563_Zebrias_zebrinus	Zebrias zebrinus	Soleidae
YS-FJ-2-H_k39_68_flag1_multi22913.0000_len1573_Coilia_mystus	Coilia mystus	Engraulidae
YS-HBSXST-3-K_k39_37_flag1_multi28250.0000_len1551_Cynoglossus_gracilis	Cynoglossus gracilis	Cynoglossidae
YS-HBSZ-1-B_k39_140_flag1_multi16179.0000_len1577_Saurida_undosquamis	Saurida undosquamis	Synodontidae
YS-HJ-6-H_k59_12_flag1_multi46405.0000_len1571_Setipinna_tenuifilis	Setipinna tenuifilis	Engraulidae
YS-HKL-3-H_k59_21_flag1_multi10547.0000_len1567_Ilisha_melastoma	Ilisha melastoma	Pristigasteridae
YS-HM-3-S_k99_18_flag1_multi11330.0000_len1587_Gymnothorax_reevesii	Gymnothorax reevesii	Muraenidae
YS-HSLT-3-B_k59_35_flag1_multi33456.0000_len1571_Thryssa_hamiltonii	Thryssa hamiltonii	Engraulidae
YS-HUAJI-1-H_k39_157_flag1_multi44331.0000_len1542_Clupanodon_thrissa	Clupanodon thrissa	Clupeidae
YS-HYH-2-B_k59_14_flag1_multi43413.0000_len1589_Otolithes_ruber	Otolithes ruber	Sciaenidae
YS-JSXSD-3-H_k59_5_flag1_multi26142.0000_len1578_Sardinella_lemuru	Sardinella lemuru	Clupeidae
YS-JTZCS-1-K_k141_7_flag1_multi11825.0000_len1557_Scoliodon_macrorhynchos	Scoliodon macrorhynchos	Carcharhinidae
YS-JXY-3-H_k59_11_flag1_multi21297.0000_len1581_Scatophagus_argus	Scatophagus argus	Scatophagidae
YS-JZH-1-B_k39_126_flag1_multi13148.2929_len1572_Telatrygon_zugei	Telatrygon zugei	Dasyatidae
YS-KSCDXGY-1-P_k141_25_flag1_multi64429.0000_len1564_Encrasicholina_punctifer	Encrasicholina punctifer	Engraulidae
YS-KSCDXGY-3-H_k39_74_flag1_multi56641.0000_len1560_Encrasicholina_heteroloba	Encrasicholina heteroloba	Engraulidae
YS-LBYKF-2-M_k39_66_flag1_multi23656.7051_len1541_Leiognathus_ruconius	Deveximentum ruconius	Leiognathidae
YS-LTY-3-H_k59_9_flag1_multi25931.0000_len1576_Harpadon_nehereus	Harpadon nehereus	Synodontidae
YS-LY-2-H_k59_24_flag1_multi24959.0000_len1585_Larimichthys_crocea	Larimichthys crocea	Sciaenidae
YS-LYS-2-H_k39_28_flag1_multi18535.8045_len1650_Decapterus_maruadsi	Decapterus maruadsi	Carangidae
YS-LYXHY-3-I_k59_7_flag1_multi9296.0000_len1586_Odontamblyopus_rubicundus	Odontamblyopus rubicundus	Gobiidae
YS-LZMB-3-H_k39_137_flag1_multi50507.0000_len1643_Polydactylus_sextarius	Polydactylus sextarius	Polynemidae
YS-LZY-2-B_k59_20_flag1_multi61965.0000_len1576_Siganus_canaliculatus	Siganus canaliculatus	Siganidae
YS-LZY-3-B_k39_116_flag1_multi53698.0000_len1679_Siganus_fuscescens	Siganus fuscescens	Siganidae
YS-MSXX-3-H_k59_1_flag1_multi15205.0000_len956_Bregmaceros_mcclellandi	Bregmaceros mcclellandi	Bregmacerotidae
YS-PSJGY-3-H_k59_15_flag1_multi11352.0000_len1572_Johnius_belangerii	Johnius belangerii	Sciaenidae
YS-QLXSD-1-B_k59_16_flag1_multi19869.0000_len1562_Sardinella_fijiensis	Sardinella fijiensis	Clupeidae
YS-QLXSD-3-H_k59_16_flag1_multi41440.0000_len1578_Sardinella_melanura	Sardinella melanura	Clupeidae
YS-QLXSDD-1-H_k59_6_flag1_multi36678.0000_len1586_Sardinella_zunasi	Sardinella zunasi	Clupeidae
YS-QXDDY-2-B_k79_21_flag1_multi24863.0000_len1220_Benthosema_pterotum	Benthosema pterotum	Myctophidae
YS-RBJXY-2-H_k79_5_flag1_multi8122.0000_len1161_Nemipterus_japonicus	Nemipterus japonicus	Nemipteridae
YS-RWXLT-2-H_k79_17_flag1_multi15186.0000_len1565_Paramonacanthus_sulcatus	Paramonacanthus sulcatus	Monacanthidae
YS-SDYY-1-H_k39_49_flag1_multi36817.4411_len1517_Lepturacanthus_savala	Lepturacanthus savala	Trichiuridae
YS-SLS-2-B_k59_18_flag1_multi31805.0000_len1563_Sillago_sihama	Sillago sihama	Sillaginidae
YS-SQHN-1-H_k99_9_flag1_multi28570.0000_len1639_Arius_arius	Arius arius	Ariidae
YS-SZMB-1-B_k39_505_flag1_multi62564.0000_len1599_Eleutheronema_tetradactylum	Eleutheronema tetradactylum	Polynemidae
YS-Y-1-M_k59_12_flag1_multi2808.0000_len999_Inegocia_japonica	Inegocia japonica	Platycephalidae
YS-YC-3-H_k39_119_flag1_multi11046.0000_len1581_Pampus_argenteus	Pampus argenteus	Stromateidae
YS-YSDD-3-G_k39_171_flag1_multi32511.0000_len1581_Lutjanus_johnii	Lutjanus johnii	Lutjanidae
YS-Z-1-B_k59_11_flag1_multi9894.0000_len1520_Moolgarda_cunnesius	Moolgarda cunnesius	Mugilidae
YS-ZBTTT-2-H_k39_161_flag1_multi24648.0000_len1579_Lagocephalus_spadiceus	Lagocephalus spadiceus	Tetraodontidae
YS-ZY-1-S_k59_15_flag1_multi2900.0000_len1634_Liza_carinata	Chelon carinatus	Mugilidae
GBMNF45013-22|Sardinella_aurita|COI-5P|MT272787	Sardinella aurita	Clupeidae
GBMIN119186-17|Sardinella_gibbosa|COI-5P|KR905705	Sardinella gibbosa	Clupeidae
ANGBF41346-19|Psenopsis_cyanea|COI-5P|KR105837	Psenopsis cyanea	Centrolophidae
GBMNF48242-22|Pampus_chinensis|COI-5P|MW421910	Pampus chinensis	Stromateidae
DSFIB720-16|Benthosema_glaciale|COI-5P	Benthosema glaciale	Myctophidae
GBMND27794-21|Pampus_minor|COI-5P|MK284296	Pampus minor	Stromateidae
PHILU005-18|Lutjanus_lutjanus|COI-5P|OQ387485	Lutjanus lutjanus	Lutjanidae
FOAO1350-18|Lutjanus_malabaricus|COI-5P	Lutjanus malabaricus	Lutjanidae
ANGBF39353-19|Eleutheronema_rhadinum|COI-5P|MG816132	Eleutheronema rhadinum	Polynemidae
GBMNE77705-22|Benthosema_glaciale|COI-5P|MW532745	Benthosema glaciale	Myctophidae
GBMIN121772-17|Nemipterus_hexodon|COI-5P|KY362819	Nemipterus hexodon	Nemipteridae
GBGCA4410-13|Nemipterus_bathybius|COI-5P|JQ681462	Nemipterus bathybius	Nemipteridae
GBMND65929-21|Encrasicholina_pseudoheteroloba|COI-5P|MT080451	Encrasicholina pseudoheteroloba	Engraulidae
IFBIO037-17|Paramonacanthus_frenatus|COI-5P|OL409626	Paramonacanthus frenatus	Monacanthidae
FIMOS322-24|Paramonacanthus_otisensis|COI-5P	Paramonacanthus otisensis	Monacanthidae
ANGBF52905-19|Moolgarda_perusii|COI-5P|LC484868	Moolgarda perusii	Mugilidae
ANGBF3855-12|Lepturacanthus_roelandti|COI-5P|JN990848	Lepturacanthus roelandti	Trichiuridae
GBMIN96174-17|Leiognathus_equulus|COI-5P|KX147300	Leiognathus equulus	Leiognathidae
GBMIN131800-17|Pennahia_anea|COI-5P|KY024209	Pennahia anea	Sciaenidae
ANGEN269-15|Nematalosa_nasus|COI-5P	Nematalosa nasus	Clupeidae
GBMNA14461-19|Nematalosa_come|COI-5P|KC466693	Nematalosa come	Clupeidae
ANGBF50498-19|Thryssa_polybranchialis|COI-5P|MK962527	Thryssa polybranchialis	Engraulidae
GBMNF45153-22|Thryssa_vitrirostris|COI-5P|ON197104	Thryssa vitrirostris	Engraulidae
ANGBF30572-19|Otolithes_cuvieri|COI-5P|EF534117	Otolithes cuvieri	Sciaenidae
GBMNE77934-22|Sardinella_longiceps|COI-5P|MZ303728	Sardinella longiceps	Clupeidae
CLUIR021-16|Sardinella_sindensis|COI-5P|MG462820	Sardinella sindensis	Clupeidae
GBMND65885-21|Thryssa_mystax|COI-5P|MT080458	Thryssa mystax	Engraulidae
ANGBF1018-12|Thryssa_adelae|COI-5P|HM180924	Thryssa adelae	Engraulidae
GBMNE36152-21|Saurida_brasiliensis|COI-5P|MT580050	Saurida brasiliensis	Synodontidae
PHILA1814-16|Saurida_longimanus|COI-5P|OQ385517	Saurida longimanus	Synodontidae
ANGBF30335-19|Larimichthys_polyactis|COI-3P|KY623587	Larimichthys polyactis	Sciaenidae
BAHIA136-14|Decapterus_punctatus|COI-5P	Decapterus punctatus	Carangidae
