host_order	species	species_abbreviation	lib_index	total_reads	qc_filtered_reads	qc_retained_pct	pre_rRNA_reads	qc_filtered_loss_reads	qc_filtered_loss_pct	rRNA_reads	rRNA_reads_pct	rRNA_reads_pct_total	remaining_reads	remaining_reads_pct	remaining_reads_pct_total	remaining_reads_pct_input
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-1-B	95349398	95349398	100	85164026	10185372	10.682156587920986	1254562	1.4731126027320502	1.3157524077918143	83909464	98.52688739726796	88.0020910042872	98.52688739999999
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-1-G	109149578	109149578	100	95108826	14040752	12.863771218611582	1446876	1.521284680771898	1.3255900998536156	93661950	98.4787153192281	85.8106386815348	98.47871529999999
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-1-H	101458250	101458080	99.9998324433942	75256590	26201660	25.825065975413533	938308	1.246811741005007	0.9248217863012619	74318282	98.753188258995	73.25011223828521	98.7531883
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-1-I	148317634	148317620	99.99999056079872	109802954	38514680	25.96770118379855	4244484	3.865546276651173	2.8617527704089456	105558470	96.13445372334883	71.1705460457925	96.1344537
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-1-K	228525772	228525730	99.9999816213289	181968970	46556802	20.372670264953747	3983046	2.188860001790415	1.7429307710641933	177985924	97.81113999820958	77.88439896398206	97.81114
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-1-M	206825148	206823186	99.99905137261162	139874170	66950978	32.370811116257485	5397766	3.859015570923495	2.609820929512885	134476404	96.14098442907651	65.01936795422962	96.1409844
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-1-P	114061570	114061570	100	85512164	28549406	25.029820297932073	2177448	2.5463605388351533	1.9090110718272597	83334716	97.45363946116484	73.06116863024067	97.4536395
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-1-S	247541026	247541026	100	194218548	53322478	21.540864906975056	3227388	1.6617300629803906	1.303779034995193	190991160	98.3382699370196	77.15535605802975	98.3382699
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-2-B	188453904	188451958	99.9989673867409	161480798	26973106	14.312840130921353	3555298	2.2016846857544015	1.886561076495396	157925500	97.7983153142456	83.80059879258326	97.7983153
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-2-G	130778968	130778968	100	86348038	44430930	33.97406378065317	7513008	8.700843903366977	5.744813646182007	78835030	91.29915609663303	60.28112257316482	91.2991561
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-2-H	113301408	113301408	100	66050564	47250844	41.70366885467125	1361580	2.061420701873189	1.2017326386623546	64688984	97.93857929812681	57.094598506666394	97.9385793
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-2-I	184391904	184391764	99.99992407475764	123959608	60432296	32.77383371452144	3528724	2.8466724418812297	1.9137087493819684	120430884	97.15332755811878	65.3124575360966	97.1533276
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-2-K	70771572	70771572	100	59715596	11055976	15.622057964178046	1163662	1.9486735090109457	1.6442506039006735	58551934	98.05132649098906	82.73369143192129	98.0513265
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-2-M	95365600	95365600	100	65854962	29510638	30.944741080641236	3452016	5.241846468607787	3.619770651052371	62402946	94.75815353139221	65.43548826830639	94.75815349999999
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-2-P	237472452	237470386	99.99913000435099	188126630	49345822	20.77959846896262	6938644	3.6882837905510772	2.921873228478729	181187986	96.31171620944892	76.29852830255865	96.31171619999999
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-2-S	171612996	171612726	99.99984266925799	108949556	62663440	36.514390786581224	2838358	2.605203824786583	1.6539295194170494	106111198	97.39479617521341	61.83167969400173	97.3947962
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-3-B	281234560	281234560	100	242166886	39067674	13.891491145327231	4503900	1.8598331400272454	1.6014745840624993	237662986	98.14016685997275	84.50703427061026	98.1401669
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-3-G	132740814	132740808	99.99999547991321	107291168	25449646	19.172434787088168	4814232	4.487072039331327	3.6267910787408613	102476936	95.51292796066868	77.20077413417097	95.512928
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	YS-HM-3-H	81497614	81497614	100	63665006	17832608	21.881141207397803	1969966	3.094268144732445	2.417206962648011	61695040	96.90573185526756	75.70165182995419	96.9057319
