host_order	species	species_abbreviation	library_count
Anguilliformes	Gymnothorax reevesii	Gy. reevesii	32
Aulopiformes	Harpadon nehereus	Ha. nehereus	24
Aulopiformes	Saurida elongata	Sa. elongata	24
Aulopiformes	Saurida undosquamis	Sa. undosquamis	24
Carangaria incertae sedis	Eleutheronema tetradactylum	El. tetradactylum	8
Carangaria incertae sedis	Polydactylus sextarius	Po. sextarius	24
Carangiformes	Decapterus maruadsi	De. maruadsi	22
Chaetodontiformes	Deveximentum ruconius	De. ruconius	24
Clupeiformes	Clupanodon thrissa	Cl. thrissa	14
Clupeiformes	Coilia mystus	Co. mystus	20
Clupeiformes	Encrasicholina heteroloba	En. heteroloba	16
Clupeiformes	Encrasicholina punctifer	En. punctifer	8
Clupeiformes	Ilisha elongata	Il. elongata	16
Clupeiformes	Ilisha melastoma	Il. melastoma	24
Clupeiformes	Nematalosa japonica	Ne. japonica	24
Clupeiformes	Sardinella fijiensis	Sa. fijiensis	8
Clupeiformes	Sardinella lemuru	Sa. lemuru	24
Clupeiformes	Sardinella melanura	Sa. melanura	16
Clupeiformes	Sardinella zunasi	Sa. zunasi	20
Clupeiformes	Setipinna tenuifilis	Se. tenuifilis	48
Clupeiformes	Thryssa dussumieri	Th. dussumieri	14
Clupeiformes	Thryssa hamiltonii	Th. hamiltonii	24
Clupeiformes	Thryssa kammalensis	Th. kammalensis	48
Clupeiformes	Thryssa setirostris	Th. setirostris	24
Eupercaria incertae sedis	Johnius belangerii	Jo. belangerii	24
Eupercaria incertae sedis	Larimichthys crocea	La. crocea	16
Eupercaria incertae sedis	Otolithes ruber	Ot. ruber	19
Eupercaria incertae sedis	Pennahia macrocephala	Pe. macrocephala	24
Eupercaria incertae sedis	Scatophagus argus	Sc. argus	24
Eupercaria incertae sedis	Siganus canaliculatus	Si. canaliculatus	16
Eupercaria incertae sedis	Siganus fuscescens	Si. fuscescens	8
Eupercaria incertae sedis	Sillago sihama	Si. sihama	16
Gadiformes	Bregmaceros mcclellandi	Br. mcclellandi	24
Gobiiformes	Odontamblyopus rubicundus	Od. rubicundus	24
Lutjaniformes	Lutjanus johnii	Lu. johnii	11
Mugiliformes	Chelon carinatus	Ch. carinatus	8
Mugiliformes	Moolgarda cunnesius	Mo. cunnesius	24
Myctophiformes	Benthosema pterotum	Be. pterotum	24
Perciformes	Inegocia japonica	In. japonica	16
Perciformes	Kumococius rodericensis	Ku. rodericensis	8
Pleuronectiformes	Cynoglossus gracilis	Cy. gracilis	19
Pleuronectiformes	Zebrias zebrinus	Ze. zebrinus	8
Scombriformes	Lepturacanthus savala	Le. savala	24
Scombriformes	Pampus argenteus	Pa. argenteus	8
Scombriformes	Psenopsis anomala	Ps. anomala	24
Siluriformes	Arius arius	Ar. arius	24
Spariformes	Nemipterus japonicus	Ne. japonicus	24
Tetraodontiformes	Lagocephalus spadiceus	La. spadiceus	24
Tetraodontiformes	Paramonacanthus sulcatus	Pa. sulcatus	24
Carcharhiniformes	Scoliodon macrorhynchos	Sc. macrorhynchos	8
Myliobatiformes	Telatrygon zugei	Te. zugei	24
