Organ	Input_row	Full_name	Display_name	Abundance	Positive_count	Classification	Known_pathogen
Brain	2	Nanhai retrovirus 1	Nanhai retrovirus 1	1.44691743996867	3	RNA virus	FALSE
Brain	3	Bombay duck fish bornavirus	Bombay duck fish bornavirus	2.32238151240647	2	RNA virus	TRUE
Brain	4	Gymnothorax reevesii picornavirus	Gymn. reevesii picornavirus	0.901957063790096	1	RNA virus	FALSE
Brain	5	Nanhai reo-like virus 7	Nanhai reo-like virus 7	0.744548975747499	1	RNA virus	FALSE
Brain	6	Nanhai reo-like virus 4	Nanhai reo-like virus 4	0.624716705077323	1	RNA virus	FALSE
Brain	7	Nanhai circo-like virus 2	Nanhai circo-like virus 2	0.607856296378335	1	DNA virus	FALSE
Brain	8	Arius arius calicivirus	Arius arius calicivirus	0.532750484843638	1	RNA virus	FALSE
Brain	9	Nanhai retrovirus 2	Nanhai retrovirus 2	0.451963384140904	1	RNA virus	FALSE
Brain	10	Clostridium sp. Y	Clostridium sp. Y	0.403539216394583	1	Bacteria	TRUE
Brain	11	Pseudoloma sp. FJ	Pseudoloma sp. FJ	0.314422172707402	1	Eukaryota	FALSE
Brain	12	Nanhai filovirus 2	Nanhai filovirus 2	0.213405116151244	1	RNA virus	FALSE
Brain	13	Asian seabass Nervous Necrosis Virus	Asian seabass NN Virus	0.185860019968889	1	RNA virus	TRUE
Brain	14	Nanhai amnoonvirus 1	Nanhai amnoonvirus 1	0.103017215236698	1	RNA virus	FALSE
Gill	2	Gymnothorax reevesii picornavirus	Gymn. reevesii picornavirus	0.698068519423864	4	RNA virus	FALSE
Gill	3	Nanhai retrovirus 1	Nanhai retrovirus 1	1.56458985974396	3	RNA virus	FALSE
Gill	4	Bombay duck fish bornavirus	Bombay duck fish bornavirus	2.47658610266762	2	RNA virus	TRUE
Gill	5	Cynoglossus gracilis hantavirus	Cyno. gracilis hantavirus	1.00562206805528	1	RNA virus	FALSE
