Group	Brain	Gill	Intestine	Liver	Skin	Muscles	Spleen	Kidney	Total	Dominant_organ	Dominant_percentage
Amnoonviridae	100	0	0	0	0	0	0	0	0.267702116	Brain	100
Alloherpesviridae	0	100	0	0	0	0	0	0	0.250908855	Gill	100
Hantaviridae	0	100	0	0	0	0	0	0	9.130294431	Gill	100
Parvoviridae	0	90.7290295969167	3.29164910453238	0	0	0	0	5.97932129855089	32.992962236	Gill	90.7290295969167
Astroviridae	0	0	100	0	0	0	0	0	62.78062849	Intestine	100
Rhabdoviridae	0	0	100	0	0	0	0	0	0.354545296	Intestine	100
Papillomaviridae	0	0	91.388173023276	0	0	0	4.2556578856117	4.35616909111226	35.322868553	Intestine	91.388173023276
Platyhelminthes	0	9.0677021889174	82.2254836978943	0	0	8.70681411318832	0	0	60.943557793	Intestine	82.2254836978943
Vibrio	0	0	75.0492463924936	0	24.9507536075064	0	0	0	58.813015093	Intestine	75.0492463924936
Apicomplexa	0	0	68.9184452052973	0	0	0	26.9900855775517	4.09146921715102	26.06609627	Intestine	68.9184452052973
Clostridium	23.4544948001298	0	59.9725367272068	16.5729684726634	0	0	0	0	6.533674313	Intestine	59.9725367272068
Aliivibrio	0	0	59.1664473644513	0	40.8335526355487	0	0	0	14.7000339	Intestine	59.1664473644513
Photobacterium	0	5.10038044233962	57.5760297341453	17.4141651180119	3.13100947237023	7.68478090967781	9.09363432345507	0	51.361201593	Intestine	57.5760297341453
Microsporidia	1.01012775548705	0	42.8434866894021	2.4038132190547	32.3940340428534	5.2685164556148	7.99220281151812	8.08781902606985	105.197980773	Intestine	42.8434866894021
Acinetobacter	0	0	0	0	100	0	0	0	16.2451742970092	Skin	100
Hepadnaviridae	0	0	0	0	100	0	0	0	13.950020983	Skin	100
Arthropoda	0	12.6361081927572	0	0	87.3638918072428	0	0	0	16.2740024375178	Skin	87.3638918072428
Nodaviridae	10.7690852843518	0	0	0	64.8141197814601	24.4167949341881	0	0	4.959775291	Skin	64.8141197814601
Circoviridae	15.6322814961749	8.52268522949475	9.24823509730475	0	48.4724544489562	0	7.68213491228678	10.4422088157826	19.534856705	Skin	48.4724544489562
Hepaciviridae	0	4.9015757579889	0.970644902856934	86.185067309573	0.292215323647502	0.913347384019734	4.71730869812302	2.01984062379093	871.010010779	Liver	86.185067309573
Picornaviridae	0.305993240371785	0.699683507958205	21.0123448326245	40.355333898807	29.7165690174793	7.41367939594931	0.24515119209734	0.251244914712602	2280.820965692	Liver	40.355333898807
Caliciviridae	4.87033548810266	0	0	29.7814841095725	5.96299110335125	20.6928999668309	26.1357651572014	12.5565241749413	49.482616339	Liver	29.7814841095725
Bornaviridae	7.49923107669452	10.711288120337	4.11916418935329	3.20550982898017	24.2382257264295	25.2183035624708	22.3958863425698	2.61239115316499	5575.99710455	Muscles	25.2183035624708
Iridoviridae	0	0	0	0	0	0	100	0	65.1534762	Spleen	100
Nanhypoviridae	0	11.4358248757824	0	0	5.28736532392138	0	73.0456284681315	10.2311813321647	29.0580279	Spleen	73.0456284681315
Nematoda	0	0.0782113040966367	26.2020324012071	2.25561849509357	0	1.92416233394757	69.4164146977533	0.123560767901829	1321.836038845	Spleen	69.4164146977533
Spinareoviridae	0.0797203686006579	1.98508447094432	0.215807644975443	0.773707277775417	0.137797181582156	1.19817191984568	68.296842289898	27.3128688463783	9743.416493606	Spleen	68.296842289898
Retroviridae	8.45972014526287	12.0355100314413	27.0716693873449	14.2272005493354	1.21494565770417	1.27926718678665	27.2067768377237	8.50491020440099	978.574116596	Spleen	27.2067768377237
Filoviridae	2.59342586603029	27.0037079999359	0	0	26.7085156221983	0	27.0635805881057	16.6307699237297	24.468638233	Spleen	27.0635805881057
Paramyxoviridae	0	0	0	0	0	0	0	100	122.39711782	Kidney	100
Pseudomonas	0	0	0	0	0	0	0	100	5.26856028229636	Kidney	100
