Panel	Panel_index	Pathogens	Organ	RPM	Log10_RPM_plus_1
Top_1	1	Bombay duck fish bornavirus	Brain	418.1569077	2.62237662772072
Top_1	1	Bombay duck fish bornavirus	Gill	597.26111545	2.77689077637658
Top_1	1	Bombay duck fish bornavirus	Intestine	229.68447593	2.36301836935947
Top_1	1	Bombay duck fish bornavirus	Liver	178.73913525	2.25464264790844
Top_1	1	Bombay duck fish bornavirus	Kidney	145.66685506	2.16633197961743
Top_1	1	Bombay duck fish bornavirus	Spleen	1248.793974	3.09683842634447
Top_1	1	Bombay duck fish bornavirus	Muscles	1406.17187646	3.14834714678746
Top_1	1	Bombay duck fish bornavirus	Skin	1351.5227647	3.13114458357557
Top_2	2	Odontamblyopus rubicundus hepacivirus	Brain	0	0
Top_2	2	Odontamblyopus rubicundus hepacivirus	Gill	41.60250019	1.62943508705715
Top_2	2	Odontamblyopus rubicundus hepacivirus	Intestine	8.454414273	0.975634628275342
Top_2	2	Odontamblyopus rubicundus hepacivirus	Liver	668.7561325	2.82591669883675
Top_2	2	Odontamblyopus rubicundus hepacivirus	Kidney	13.73838293	1.16844983609405
Top_2	2	Odontamblyopus rubicundus hepacivirus	Spleen	25.91907408	1.43006011762986
Top_2	2	Odontamblyopus rubicundus hepacivirus	Muscles	4.472871187	0.738215226429835
Top_2	2	Odontamblyopus rubicundus hepacivirus	Skin	1.066329195	0.315199511851077
Top_3	3	Johnius belangerii hepacivirus	Brain	0	0
Top_3	3	Johnius belangerii hepacivirus	Gill	1.090715348	0.320294907419233
Top_3	3	Johnius belangerii hepacivirus	Intestine	0	0
Top_3	3	Johnius belangerii hepacivirus	Liver	73.28392186	1.87089482448608
Top_3	3	Johnius belangerii hepacivirus	Kidney	3.854631105	0.686156234213179
Top_3	3	Johnius belangerii hepacivirus	Spleen	15.16915692	1.20868737584102
Top_3	3	Johnius belangerii hepacivirus	Muscles	3.482475961	0.651517969169403
Top_3	3	Johnius belangerii hepacivirus	Skin	1.478895527	0.394258223821675
Top_4	4	Nanhai reo-like virus 7	Brain	4.553272383	0.744548975747499
Top_4	4	Nanhai reo-like virus 7	Gill	75.74622923	1.88505704649667
Top_4	4	Nanhai reo-like virus 7	Intestine	2.155298328	0.499040427313612
Top_4	4	Nanhai reo-like virus 7	Liver	4.67673136	0.754098342590723
Top_4	4	Nanhai reo-like virus 7	Kidney	399.798729965	2.60292633668637
Top_4	4	Nanhai reo-like virus 7	Spleen	1694.2464025	3.22923283142919
Top_4	4	Nanhai reo-like virus 7	Muscles	6.80828864	0.892555859018562
Top_4	4	Nanhai reo-like virus 7	Skin	3.786975742	0.680061226700199
Top_5	5	Nanhai retrovirus 1	Brain	80.95347839	1.91356739126251
Top_5	5	Nanhai retrovirus 1	Gill	107.080682738	2.03374807943005
Top_5	5	Nanhai retrovirus 1	Intestine	263.75342242	2.42284158286267
Top_5	5	Nanhai retrovirus 1	Liver	134.02641247	2.13041872899873
Top_5	5	Nanhai retrovirus 1	Kidney	54.1281085	1.74137309166111
Top_5	5	Nanhai retrovirus 1	Spleen	78.812725494	1.90207214161656
Top_5	5	Nanhai retrovirus 1	Muscles	8.87170348	0.994392101821479
Top_5	5	Nanhai retrovirus 1	Skin	10.127084963	1.04638140420008
Top_6	6	Nanhai circo-like virus 2	Brain	3.05374379	0.607856296378335
Top_6	6	Nanhai circo-like virus 2	Gill	1.664894347	0.425679995567297
Top_6	6	Nanhai circo-like virus 2	Intestine	1.806629474	0.448185081669444
Top_6	6	Nanhai circo-like virus 2	Liver	0	0
Top_6	6	Nanhai circo-like virus 2	Kidney	2.039870529	0.482855086984325
Top_6	6	Nanhai circo-like virus 2	Spleen	1.500694047	0.398060560252032
Top_6	6	Nanhai circo-like virus 2	Muscles	0	0
Top_6	6	Nanhai circo-like virus 2	Skin	9.469024518	1.01990621690459
Top_7	7	Glugea plecoglossi	Brain	0	0
Top_7	7	Glugea plecoglossi	Gill	0	0
Top_7	7	Glugea plecoglossi	Intestine	45.07048289	1.6634227643552
Top_7	7	Glugea plecoglossi	Liver	2.528762968	0.547622487165034
Top_7	7	Glugea plecoglossi	Kidney	8.508222304	0.978099327060336
Top_7	7	Glugea plecoglossi	Spleen	8.407635977	0.973480504284911
Top_7	7	Glugea plecoglossi	Muscles	5.542372928	0.815735296125928
Top_7	7	Glugea plecoglossi	Skin	34.077869704	1.54503321058083
Top_8	8	Toxocara sp. CTSZ	Brain	0	0
Top_8	8	Toxocara sp. CTSZ	Gill	0	0
Top_8	8	Toxocara sp. CTSZ	Intestine	286.24866789	2.45825802333295
Top_8	8	Toxocara sp. CTSZ	Liver	29.815578167	1.4887703204484
Top_8	8	Toxocara sp. CTSZ	Kidney	1.63327076	0.420495516731695
Top_8	8	Toxocara sp. CTSZ	Spleen	830.321020614	2.91976876212254
Top_8	8	Toxocara sp. CTSZ	Muscles	23.04784733	1.38107620609259
Top_8	8	Toxocara sp. CTSZ	Skin	0	0
Bottom_1	9	Telatrygon zugei hepacivirus	Brain	0	0
Bottom_1	9	Telatrygon zugei hepacivirus	Gill	0	0
Bottom_1	9	Telatrygon zugei hepacivirus	Intestine	0	0
Bottom_1	9	Telatrygon zugei hepacivirus	Liver	8.640509703	0.984099996075903
Bottom_1	9	Telatrygon zugei hepacivirus	Kidney	0	0
Bottom_1	9	Telatrygon zugei hepacivirus	Spleen	0	0
Bottom_1	9	Telatrygon zugei hepacivirus	Muscles	0	0
Bottom_1	9	Telatrygon zugei hepacivirus	Skin	0	0
Bottom_2	10	Vibrio ponticus	Brain	0	0
Bottom_2	10	Vibrio ponticus	Gill	0	0
Bottom_2	10	Vibrio ponticus	Intestine	42.380677527	1.63729633061823
Bottom_2	10	Vibrio ponticus	Liver	0	0
Bottom_2	10	Vibrio ponticus	Kidney	0	0
Bottom_2	10	Vibrio ponticus	Spleen	0	0
Bottom_2	10	Vibrio ponticus	Muscles	0	0
Bottom_2	10	Vibrio ponticus	Skin	11.704569869	1.10395996598757
Bottom_3	11	Aliivibrio fischeri	Brain	0	0
Bottom_3	11	Aliivibrio fischeri	Gill	0	0
Bottom_3	11	Aliivibrio fischeri	Intestine	8.69748782	0.986659242800569
Bottom_3	11	Aliivibrio fischeri	Liver	0	0
Bottom_3	11	Aliivibrio fischeri	Kidney	0	0
Bottom_3	11	Aliivibrio fischeri	Spleen	0	0
Bottom_3	11	Aliivibrio fischeri	Muscles	0	0
Bottom_3	11	Aliivibrio fischeri	Skin	6.00254608	0.845255975364064
Bottom_4	12	Photobacterium sp.	Brain	0	0
Bottom_4	12	Photobacterium sp.	Gill	2.619616681	0.558662580991454
Bottom_4	12	Photobacterium sp.	Intestine	15.928085167	1.2286078353424
Bottom_4	12	Photobacterium sp.	Liver	0	0
Bottom_4	12	Photobacterium sp.	Kidney	0	0
Bottom_4	12	Photobacterium sp.	Spleen	1.059589507	0.313780670558767
Bottom_4	12	Photobacterium sp.	Muscles	1.981493957	0.474433933438856
Bottom_4	12	Photobacterium sp.	Skin	1.608124087	0.416328250026671
Bottom_5	13	Vibrio sp. Y	Brain	0	0
Bottom_5	13	Vibrio sp. Y	Gill	0	0
Bottom_5	13	Vibrio sp. Y	Intestine	1.758047081	0.440601675488845
Bottom_5	13	Vibrio sp. Y	Liver	0	0
Bottom_5	13	Vibrio sp. Y	Kidney	0	0
Bottom_5	13	Vibrio sp. Y	Spleen	0	0
Bottom_5	13	Vibrio sp. Y	Muscles	0	0
Bottom_5	13	Vibrio sp. Y	Skin	2.969720616	0.598759942733107
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Brain	0.534122431	0.185860019968889
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Gill	0	0
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Intestine	0	0
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Liver	0	0
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Kidney	0	0
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Spleen	0	0
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Muscles	1.211018162	0.344592310025111
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Skin	3.214634698	0.624759938268463
Bottom_7	15	Marble sleepy goby iridovirus	Brain	0	0
Bottom_7	15	Marble sleepy goby iridovirus	Gill	0	0
Bottom_7	15	Marble sleepy goby iridovirus	Intestine	0	0
Bottom_7	15	Marble sleepy goby iridovirus	Liver	0	0
Bottom_7	15	Marble sleepy goby iridovirus	Kidney	0	0
Bottom_7	15	Marble sleepy goby iridovirus	Spleen	65.1534762	1.8205526702138
Bottom_7	15	Marble sleepy goby iridovirus	Muscles	0	0
