sample_label	Host order	Host class
Gymnothorax reevesii	Anguilliformes	Actinopteri
Harpadon nehereus 1	Aulopiformes	Actinopteri
Harpadon nehereus 3	Aulopiformes	Actinopteri
Saurida elongata 1	Aulopiformes	Actinopteri
Saurida elongata 3	Aulopiformes	Actinopteri
Ilisha elongata	Clupeiformes	Actinopteri
Scatophagus argus	Eupercaria incertae sedis	Actinopteri
Bregmaceros mcclellandi 1	Gadiformes	Actinopteri
Bregmaceros mcclellandi 2	Gadiformes	Actinopteri
Bregmaceros mcclellandi 3	Gadiformes	Actinopteri
Odontamblyopus rubicundus	Gobiiformes	Actinopteri
Benthosema pterotum	Myctophiformes	Actinopteri
Inegocia japonica	Perciformes	Actinopteri
Kumococius rodericensis	Perciformes	Actinopteri
Arius arius	Siluriformes	Actinopteri
Paramonacanthus sulcatus	Tetraodontiformes	Actinopteri
