Pathogen	Display_label	lib_index	Host_order	RPM
Gymnothorax reevesii picornavirus	Gymnothorax reevesii	YS-HM-2-B	Anguilliformes	6.97915798
Bombay duck fish bornavirus	Harpadon nehereus 1	YS-LTY-1-B	Aulopiformes	383.891711
Bombay duck fish bornavirus	Harpadon nehereus 3	YS-LTY-3-B	Aulopiformes	34.2651967
Asian seabass Nervous Necrosis Virus	Saurida elongata 1	YS-CTSZ-1-B	Aulopiformes	0.534122431
Nanhai circo-like virus 2	Saurida elongata 3	YS-CTSZ-3-B	Aulopiformes	3.05374379
Nanhai filovirus 2	Ilisha elongata	YS-DHY-2-B	Clupeiformes	0.634575993
Nanhai reo-like virus 4	Scatophagus argus	YS-JXY-3-B	Eupercaria incertae sedis	3.21421516
Nanhai retrovirus 1	Bregmaceros mcclellandi 1	YS-MSXX-1-B	Gadiformes	34.79662305
Nanhai retrovirus 1	Bregmaceros mcclellandi 2	YS-MSXX-2-B	Gadiformes	29.6457896
Nanhai retrovirus 1	Bregmaceros mcclellandi 3	YS-MSXX-3-B	Gadiformes	16.51106574
Nanhai reo-like virus 7	Odontamblyopus rubicundus	YS-LYXHY-3-B	Gobiiformes	4.553272383
Nanhai retrovirus 2	Benthosema pterotum	YS-QXDDY-3-B	Myctophiformes	1.831153288
Clostridium sp. Y	Inegocia japonica	YS-Y-1-B	Perciformes	1.532440302
Nanhai amnoonvirus 1	Kumococius rodericensis	YS-DLLY-1-B	Perciformes	0.267702116
Arius arius calicivirus	Arius arius	YS-SQHN-2-B	Siluriformes	2.409969424
Pseudoloma sp. FJ	Paramonacanthus sulcatus	YS-RWXLT-2-B	Tetraodontiformes	1.062634002
