Pathogen	Pathogen taxa	Classification
Bombay duck fish bornavirus	Bornaviridae	RNA virus
Nanhai filovirus 2	Filoviridae	RNA virus
Nanhai amnoonvirus 1	Amnoonviridae	RNA virus
Arius arius calicivirus	Caliciviridae	RNA virus
Gymnothorax reevesii picornavirus	Picornaviridae	RNA virus
Nanhai reo-like virus 4	Spinareoviridae	RNA virus
Nanhai reo-like virus 7	Spinareoviridae	RNA virus
Asian seabass Nervous Necrosis Virus	Nodaviridae	RNA virus
Nanhai retrovirus 1	Retroviridae	RNA virus
Nanhai retrovirus 2	Retroviridae	RNA virus
Nanhai circo-like virus 2	Nenyaviridae	DNA virus
Clostridium sp. Y	Clostridiaceae	Bacteria
Pseudoloma sp. FJ	Microsporidia	Eukaryota
