individual_id	organ_code	tissue	lib_index
YS-BGY-1	B	Brain	YS-BGY-1-B
YS-BGY-1	G	Gill	YS-BGY-1-G
YS-BGY-1	H	Liver	YS-BGY-1-H
YS-BGY-1	I	Intestine	YS-BGY-1-I
YS-BGY-1	K	Kidney	YS-BGY-1-K
YS-BGY-1	M	Muscles	YS-BGY-1-M
YS-BGY-1	P	Skin	YS-BGY-1-P
YS-BGY-1	S	Spleen	YS-BGY-1-S
YS-BGY-2	B	Brain	YS-BGY-2-B
YS-BGY-2	G	Gill	YS-BGY-2-G
YS-BGY-2	H	Liver	YS-BGY-2-H
YS-BGY-2	I	Intestine	YS-BGY-2-I
YS-BGY-2	K	Kidney	YS-BGY-2-K
YS-BGY-2	M	Muscles	YS-BGY-2-M
YS-BGY-2	P	Skin	YS-BGY-2-P
YS-BGY-2	S	Spleen	YS-BGY-2-S
YS-BGY-3	B	Brain	YS-BGY-3-B
YS-BGY-3	G	Gill	YS-BGY-3-G
YS-BGY-3	H	Liver	YS-BGY-3-H
YS-BGY-3	I	Intestine	YS-BGY-3-I
YS-BGY-3	K	Kidney	YS-BGY-3-K
YS-BGY-3	M	Muscles	YS-BGY-3-M
YS-BGY-3	P	Skin	YS-BGY-3-P
YS-BGY-3	S	Spleen	YS-BGY-3-S
YS-BJ-1	B	Brain	YS-BJ-1-B
YS-BJ-1	G	Gill	YS-BJ-1-G
YS-BJ-1	H	Liver	YS-BJ-1-H
YS-BJ-1	I	Intestine	YS-BJ-1-I
YS-BJ-1	K	Kidney	YS-BJ-1-K
YS-BJ-1	M	Muscles	YS-BJ-1-M
YS-BJ-1	P	Skin	YS-BJ-1-P
YS-BJ-1	S	Spleen	YS-BJ-1-S
YS-BJ-2	B	Brain	YS-BJ-2-B
YS-BJ-2	G	Gill	YS-BJ-2-G
YS-BJ-2	H	Liver	YS-BJ-2-H
YS-BJ-2	I	Intestine	YS-BJ-2-I
YS-BJ-2	K	Kidney	YS-BJ-2-K
YS-BJ-2	M	Muscles	YS-BJ-2-M
YS-BJ-2	P	Skin	YS-BJ-2-P
YS-BJ-2	S	Spleen	YS-BJ-2-S
YS-BJ-3	B	Brain	YS-BJ-3-B
YS-BJ-3	G	Gill	YS-BJ-3-G
YS-BJ-3	H	Liver	YS-BJ-3-H
YS-BJ-3	I	Intestine	YS-BJ-3-I
YS-BJ-3	K	Kidney	YS-BJ-3-K
YS-BJ-3	M	Muscles	YS-BJ-3-M
YS-BJ-3	P	Skin	YS-BJ-3-P
YS-BJ-3	S	Spleen	YS-BJ-3-S
YS-CBLT-1	B	Brain	YS-CBLT-1-B
YS-CBLT-1	G	Gill	YS-CBLT-1-G
YS-CBLT-1	H	Liver	YS-CBLT-1-H
YS-CBLT-1	I	Intestine	YS-CBLT-1-I
YS-CBLT-1	K	Kidney	YS-CBLT-1-K
YS-CBLT-1	M	Muscles	YS-CBLT-1-M
YS-CBLT-1	P	Skin	YS-CBLT-1-P
YS-CBLT-1	S	Spleen	YS-CBLT-1-S
YS-CBLT-2	B	Brain	YS-CBLT-2-B
YS-CBLT-2	G	Gill	YS-CBLT-2-G
YS-CBLT-2	H	Liver	YS-CBLT-2-H
YS-CBLT-2	I	Intestine	YS-CBLT-2-I
YS-CBLT-2	K	Kidney	YS-CBLT-2-K
YS-CBLT-2	M	Muscles	YS-CBLT-2-M
YS-CBLT-2	P	Skin	YS-CBLT-2-P
YS-CBLT-2	S	Spleen	YS-CBLT-2-S
YS-CBLT-3	B	Brain	YS-CBLT-3-B
YS-CBLT-3	G	Gill	YS-CBLT-3-G
YS-CBLT-3	H	Liver	YS-CBLT-3-H
YS-CBLT-3	I	Intestine	YS-CBLT-3-I
YS-CBLT-3	K	Kidney	YS-CBLT-3-K
YS-CBLT-3	M	Muscles	YS-CBLT-3-M
YS-CBLT-3	P	Skin	YS-CBLT-3-P
YS-CBLT-3	S	Spleen	YS-CBLT-3-S
YS-CC-1	B	Brain	YS-CC-1-B
YS-CC-1	G	Gill	YS-CC-1-G
YS-CC-1	H	Liver	YS-CC-1-H
YS-CC-1	I	Intestine	YS-CC-1-I
YS-CC-1	K	Kidney	YS-CC-1-K
YS-CC-1	M	Muscles	YS-CC-1-M
YS-CC-1	P	Skin	YS-CC-1-P
YS-CC-1	S	Spleen	YS-CC-1-S
YS-CC-2	B	Brain	YS-CC-2-B
YS-CC-2	G	Gill	YS-CC-2-G
YS-CC-2	H	Liver	YS-CC-2-H
YS-CC-2	I	Intestine	YS-CC-2-I
YS-CC-2	K	Kidney	YS-CC-2-K
YS-CC-2	M	Muscles	YS-CC-2-M
