lib_id	count
YS-BGY-1-B	0
YS-BGY-1-G	0
YS-BGY-1-H	0
YS-BGY-1-I	1
YS-BGY-1-K	1
YS-BGY-1-M	0
YS-BGY-1-P	0
YS-BGY-1-S	0
YS-BGY-2-B	0
YS-BGY-2-G	0
YS-BGY-2-H	0
YS-BGY-2-I	1
YS-BGY-2-K	0
YS-BGY-2-M	0
YS-BGY-2-P	0
YS-BGY-2-S	1
YS-BGY-3-B	0
YS-BGY-3-G	0
YS-BGY-3-H	0
YS-BGY-3-I	0
YS-BGY-3-K	0
YS-BGY-3-M	0
YS-BGY-3-P	0
YS-BGY-3-S	0
YS-BJ-1-B	0
YS-BJ-1-G	0
YS-BJ-1-H	0
YS-BJ-1-I	0
YS-BJ-1-K	0
YS-BJ-1-M	0
YS-BJ-1-P	0
YS-BJ-1-S	0
YS-BJ-2-B	0
YS-BJ-2-G	0
YS-BJ-2-H	0
YS-BJ-2-I	0
YS-BJ-2-K	0
YS-BJ-2-M	0
YS-BJ-2-P	0
YS-BJ-2-S	0
YS-BJ-3-B	0
YS-BJ-3-G	0
YS-BJ-3-H	0
YS-BJ-3-I	0
YS-BJ-3-K	0
YS-BJ-3-M	0
YS-BJ-3-P	0
YS-BJ-3-S	0
YS-CBLT-1-B	0
YS-CBLT-1-G	0
YS-CBLT-1-H	0
YS-CBLT-1-I	0
YS-CBLT-1-K	1
YS-CBLT-1-M	0
YS-CBLT-1-P	0
YS-CBLT-1-S	0
YS-CBLT-2-B	0
YS-CBLT-2-G	0
YS-CBLT-2-H	0
YS-CBLT-2-I	0
YS-CBLT-2-K	0
YS-CBLT-2-M	0
YS-CBLT-2-P	0
YS-CBLT-2-S	0
YS-CBLT-3-B	0
YS-CBLT-3-G	0
YS-CBLT-3-H	0
YS-CBLT-3-I	0
YS-CBLT-3-K	0
YS-CBLT-3-M	0
YS-CBLT-3-P	0
YS-CBLT-3-S	0
YS-CC-1-B	0
YS-CC-1-G	1
YS-CC-1-H	0
YS-CC-1-I	0
YS-CC-1-K	1
YS-CC-1-M	0
YS-CC-1-P	1
YS-CC-1-S	1
YS-CC-2-B	0
YS-CC-2-G	0
YS-CC-2-H	0
YS-CC-2-I	1
YS-CC-2-K	0
YS-CC-2-M	0
YS-CC-2-P	0
YS-CC-2-S	0
YS-CC-3-B	0
YS-CC-3-G	0
YS-CC-3-H	0
YS-CC-3-I	2
YS-CC-3-K	1
YS-CC-3-M	0
YS-CC-3-P	0
YS-CC-3-S	0
YS-CHLT-1-B	0
YS-CHLT-1-G	0
YS-CHLT-1-H	0
YS-CHLT-1-I	0
YS-CHLT-1-K	0
YS-CHLT-1-M	0
YS-CHLT-1-P	0
YS-CHLT-1-S	0
YS-CHLT-2-B	0
YS-CHLT-2-G	0
YS-CHLT-2-H	0
YS-CHLT-2-I	0
YS-CHLT-2-K	0
YS-CHLT-2-M	0
YS-CHLT-2-P	0
YS-CHLT-2-S	0
YS-CHLT-3-B	0
YS-CHLT-3-G	0
YS-CHLT-3-H	1
YS-CHLT-3-I	1
YS-CHLT-3-K	1
YS-CHLT-3-M	0
YS-CHLT-3-P	0
YS-CHLT-3-S	1
YS-CTSZ-1-B	1
YS-CTSZ-1-G	0
YS-CTSZ-1-H	0
YS-CTSZ-1-I	0
YS-CTSZ-1-K	3
YS-CTSZ-1-M	0
YS-CTSZ-1-P	0
YS-CTSZ-1-S	3
YS-CTSZ-2-B	0
YS-CTSZ-2-G	0
YS-CTSZ-2-H	1
YS-CTSZ-2-I	0
YS-CTSZ-2-K	3
YS-CTSZ-2-M	0
YS-CTSZ-2-P	1
YS-CTSZ-2-S	5
YS-CTSZ-3-B	1
YS-CTSZ-3-G	1
