pool	type	individual_id
YS-BGY-1-B	Brain	YS-BGY-1
YS-BGY-1-G	Gill	YS-BGY-1
YS-BGY-1-H	Liver	YS-BGY-1
YS-BGY-1-I	Intestine	YS-BGY-1
YS-BGY-1-K	Kidney	YS-BGY-1
YS-BGY-1-M	Muscles	YS-BGY-1
YS-BGY-1-P	Skin	YS-BGY-1
YS-BGY-1-S	Spleen	YS-BGY-1
YS-BGY-2-B	Brain	YS-BGY-2
YS-BGY-2-G	Gill	YS-BGY-2
YS-BGY-2-H	Liver	YS-BGY-2
YS-BGY-2-I	Intestine	YS-BGY-2
YS-BGY-2-K	Kidney	YS-BGY-2
YS-BGY-2-M	Muscles	YS-BGY-2
YS-BGY-2-P	Skin	YS-BGY-2
YS-BGY-2-S	Spleen	YS-BGY-2
YS-BGY-3-B	Brain	YS-BGY-3
YS-BGY-3-G	Gill	YS-BGY-3
YS-BGY-3-H	Liver	YS-BGY-3
YS-BGY-3-I	Intestine	YS-BGY-3
YS-BGY-3-K	Kidney	YS-BGY-3
YS-BGY-3-M	Muscles	YS-BGY-3
YS-BGY-3-P	Skin	YS-BGY-3
YS-BGY-3-S	Spleen	YS-BGY-3
YS-BJ-1-B	Brain	YS-BJ-1
YS-BJ-1-G	Gill	YS-BJ-1
YS-BJ-1-H	Liver	YS-BJ-1
YS-BJ-1-I	Intestine	YS-BJ-1
YS-BJ-1-K	Kidney	YS-BJ-1
YS-BJ-1-M	Muscles	YS-BJ-1
YS-BJ-1-P	Skin	YS-BJ-1
YS-BJ-1-S	Spleen	YS-BJ-1
YS-BJ-2-B	Brain	YS-BJ-2
YS-BJ-2-G	Gill	YS-BJ-2
YS-BJ-2-H	Liver	YS-BJ-2
YS-BJ-2-I	Intestine	YS-BJ-2
YS-BJ-2-K	Kidney	YS-BJ-2
YS-BJ-2-M	Muscles	YS-BJ-2
YS-BJ-2-P	Skin	YS-BJ-2
YS-BJ-2-S	Spleen	YS-BJ-2
YS-BJ-3-B	Brain	YS-BJ-3
YS-BJ-3-G	Gill	YS-BJ-3
YS-BJ-3-H	Liver	YS-BJ-3
YS-BJ-3-I	Intestine	YS-BJ-3
YS-BJ-3-K	Kidney	YS-BJ-3
YS-BJ-3-M	Muscles	YS-BJ-3
YS-BJ-3-P	Skin	YS-BJ-3
YS-BJ-3-S	Spleen	YS-BJ-3
YS-CBLT-1-B	Brain	YS-CBLT-1
YS-CBLT-1-G	Gill	YS-CBLT-1
YS-CBLT-1-H	Liver	YS-CBLT-1
YS-CBLT-1-I	Intestine	YS-CBLT-1
YS-CBLT-1-K	Kidney	YS-CBLT-1
YS-CBLT-1-M	Muscles	YS-CBLT-1
YS-CBLT-1-P	Skin	YS-CBLT-1
YS-CBLT-1-S	Spleen	YS-CBLT-1
YS-CBLT-2-B	Brain	YS-CBLT-2
YS-CBLT-2-G	Gill	YS-CBLT-2
YS-CBLT-2-H	Liver	YS-CBLT-2
YS-CBLT-2-I	Intestine	YS-CBLT-2
YS-CBLT-2-K	Kidney	YS-CBLT-2
YS-CBLT-2-M	Muscles	YS-CBLT-2
YS-CBLT-2-P	Skin	YS-CBLT-2
YS-CBLT-2-S	Spleen	YS-CBLT-2
YS-CBLT-3-B	Brain	YS-CBLT-3
YS-CBLT-3-G	Gill	YS-CBLT-3
YS-CBLT-3-H	Liver	YS-CBLT-3
YS-CBLT-3-I	Intestine	YS-CBLT-3
YS-CBLT-3-K	Kidney	YS-CBLT-3
YS-CBLT-3-M	Muscles	YS-CBLT-3
YS-CBLT-3-P	Skin	YS-CBLT-3
YS-CBLT-3-S	Spleen	YS-CBLT-3
YS-CC-1-B	Brain	YS-CC-1
