order,plot_group,n_positive_fish
Anguilliformes,Anguilliformes,4
Aulopiformes,Aulopiformes,8
Carangaria incertae sedis,Others,3
Carangiformes,Others,1
Carcharhiniformes,Others,1
Chaetodontiformes,Others,3
Clupeiformes,Clupeiformes,15
Eupercaria incertae sedis,Others,8
Gadiformes,Gadiformes,3
Gobiiformes,Gobiiformes,3
Mugiliformes,Others,2
Myctophiformes,Others,3
Myliobatiformes,Others,1
Perciformes,Others,3
Pleuronectiformes,Others,1
Scombriformes,Others,5
Siluriformes,Others,2
Spariformes,Others,1
Tetraodontiformes,Others,5
