"name","classification","novelty","pathogen_characteristics","kingdom","family","infected_hosts","total_pathogen_detections","average_pathogens_per_infected_host","community","plot_order","plot_x","plot_y","degree","weighted_degree","betweenness","local_clustering","component"
"Toxocara sp. CTSZ","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Toxocaridae",19,57,3,1,1,6.12303176911189e-17,-1,30,38,0.413692480359147,0.119540229885057,1
"Vibrio ponticus","Bacteria","known","Known pathogen","k__Bacteria","f__Vibrionaceae",8,27,3.375,3,2,0.111964476103308,-0.993712209893243,13,19,0.138630751964085,0.397435897435897,1
"Photobacterium sp.","Bacteria","novel","Potential pathogen","k__Bacteria","f__Vibrionaceae",8,21,2.625,1,3,0.222520933956314,-0.974927912181824,9,13,0.0511784511784512,0.444444444444444,1
"Nanhai reo-like virus 5","RNA virus","novel","Potential pathogen","k__Viruses","f__unclassified Reovirales family",5,26,5.2,2,4,0.330279061955167,-0.943883330308368,15,21,0.0812794612794613,0.371428571428571,1
"Nanhai reo-like virus 6","RNA virus","novel","Potential pathogen","k__Viruses","f__unclassified Reovirales family",5,25,5,2,5,0.433883739117558,-0.900968867902419,13,20,0.0811672278338945,0.448717948717949,1
"Aliivibrio fischeri","Bacteria","known","Known pathogen","k__Bacteria","f__Vibrionaceae",5,18,3.6,3,6,0.532032076515337,-0.846724199228284,8,13,0.000471380471380471,0.75,1
"Taeniidae sp. QLXSDD","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Taeniidae",4,13,3.25,1,7,0.623489801858734,-0.78183148246803,7,9,0.0287317620650954,0.476190476190476,1
"Gymnothorax reevesii picornavirus","RNA virus","novel","Potential pathogen","k__Viruses","f__Picornaviridae",4,5,1.25,7,8,0.707106781186548,-0.707106781186547,1,1,0,0,2
"Acinetobacter johnsonii","Bacteria","known","Known pathogen","k__Bacteria","f__Moraxellaceae",3,15,5,1,9,0.78183148246803,-0.623489801858733,11,12,0.00437710437710438,0.381818181818182,1
"Vibrio sp. Y","Bacteria","novel","Potential pathogen","k__Bacteria","f__Vibrionaceae",3,13,4.33333333333333,3,10,0.846724199228284,-0.532032076515337,6,10,0,1,1
