"pathogen_1","pathogen_2","infected_hosts_1","infected_hosts_2","co_infected_hosts","expected_co_infected_hosts","phi_coefficient","odds_ratio","fisher_p","fisher_BH_q","significant_positive_BH"
"Nanhai reo-like virus 5","Nanhai reo-like virus 6",5,5,4,0.223214285714286,0.790654205607477,268.244987615402,3.99541683945353e-06,0.00910155956027515,TRUE
"Hydatigera sp. SDYY","Taeniidae sp. QLXSDD",3,4,3,0.107142857142857,0.862043656699036,Inf,1.75500175500176e-05,0.01998946998947,TRUE
"Aliivibrio fischeri","Vibrio sp. Y",5,3,3,0.133928571428571,0.767457377114894,Inf,4.38750438750439e-05,0.0311422765551206,TRUE
"Aliivibrio fischeri","Vibrio ponticus",5,8,4,0.357142857142857,0.611535409566059,87.6379299217453,5.4683540922073e-05,0.0311422765551206,TRUE
"Vibrio ponticus","Vibrio sp. Y",8,3,3,0.214285714285714,0.598162323401946,Inf,0.000245700245700246,0.111941031941032,FALSE
"Nanhai reo-like virus 5","Caligus sp. RWXLT",5,2,2,0.0892857142857143,0.623771519942125,Inf,0.00160875160875161,0.407192907192908,FALSE
"Nanhai reo-like virus 6","Caligus sp. RWXLT",5,2,2,0.0892857142857143,0.623771519942125,Inf,0.00160875160875161,0.407192907192908,FALSE
"Nanhai reo-like virus 2","Nanhai reo-like virus 5",2,5,2,0.0892857142857143,0.623771519942125,Inf,0.00160875160875161,0.407192907192908,FALSE
"Nanhai reo-like virus 2","Nanhai reo-like virus 6",2,5,2,0.0892857142857143,0.623771519942125,Inf,0.00160875160875161,0.407192907192908,FALSE
"Nanhai retrovirus 2","Photobacterium sp.",2,8,2,0.142857142857143,0.486172434804398,Inf,0.00450450450450451,0.782280219780217,FALSE
"Photobacterium sp. QLXSD","Photobacterium sp.",2,8,2,0.142857142857143,0.486172434804398,Inf,0.00450450450450451,0.782280219780217,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Wenzhou pacific spadenose shark reovirus 2",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Nanhai astrovirus LZMB","Nanhai rhabdovirus 1",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Nanhai filovirus 3","Cystoisospora sp. DSLT-2",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Nanhai filovirus 3","Sarcocystidae sp. DSLT",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Nanhai paramyxovirus 2","Psenopsis anomala picornavirus",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Pseudomonas aeruginosa","Taeniidae sp. LZY",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Photobacterium swingsii","Eimeriorina sp. RWXLT",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Clostridium sp. SQHN","Lepeophtheirus sp. SQHN",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Toxoplasma sp. LZY","Sarcocystidae sp. SZMB",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Toxoplasma sp. LZY","Eimeria sp. SZMB",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Toxoplasma sp. LZY","Opisthorchiidae sp. SZMB",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Cystoisospora sp. DSLT-2","Sarcocystidae sp. DSLT",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Sarcocystidae sp. SZMB","Eimeria sp. SZMB",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Sarcocystidae sp. SZMB","Opisthorchiidae sp. SZMB",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Eimeria sp. SZMB","Opisthorchiidae sp. SZMB",1,1,1,0.00892857142857143,1,Inf,0.0089285714285714,0.782280219780217,FALSE
"Vibrio ponticus","Photobacterium damselae",8,3,2,0.214285714285714,0.383437386796119,31.2024271323133,0.013022113022113,1,FALSE
"Nanhai parvovirus LTY1","Bombay duck fish bornavirus",1,2,1,0.0178571428571429,0.703914409211444,Inf,0.0178571428571429,1,FALSE
"Arius arius calicivirus","Clostridium sp. SQHN",2,1,1,0.0178571428571429,0.703914409211444,Inf,0.0178571428571429,1,FALSE
"Arius arius calicivirus","Lepeophtheirus sp. SQHN",2,1,1,0.0178571428571429,0.703914409211444,Inf,0.0178571428571429,1,FALSE
"Nanhai reo-like virus 1","Nanhai reo-like virus 2",1,2,1,0.0178571428571429,0.703914409211444,Inf,0.0178571428571429,1,FALSE
"Pseudomonas aeruginosa","Photobacterium sp. QLXSD",1,2,1,0.0178571428571429,0.703914409211444,Inf,0.0178571428571429,1,FALSE
"Photobacterium sp. QLXSD","Besnoitia sp. HKL",2,1,1,0.0178571428571429,0.703914409211444,Inf,0.0178571428571429,1,FALSE
"Photobacterium sp. QLXSD","Taeniidae sp. LZY",2,1,1,0.0178571428571429,0.703914409211444,Inf,0.0178571428571429,1,FALSE
"Pseudoloma sp. FJ","Caligus sp. RWXLT",1,2,1,0.0178571428571429,0.703914409211444,Inf,0.0178571428571429,1,FALSE
"Nanhai filovirus 2","Taeniidae sp. HBSZ",1,3,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857142,1,FALSE
"Nanhai filovirus 3","Acinetobacter johnsonii",1,3,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857142,1,FALSE
"Photobacterium swingsii","Photobacterium damselae",1,3,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857142,1,FALSE
"Nanhai retrovirus 1","Bregmaceros mcclellandi picornavirus",3,1,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857143,1,FALSE
"Acinetobacter johnsonii","Besnoitia sp. HKL",3,1,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857143,1,FALSE
"Acinetobacter johnsonii","Cystoisospora sp. DSLT-2",3,1,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857143,1,FALSE
"Acinetobacter johnsonii","Sarcocystidae sp. DSLT",3,1,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857143,1,FALSE
"Photobacterium damselae","Eimeriorina sp. RWXLT",3,1,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857143,1,FALSE
"Vibrio sp. Y","Pseudoloma sp. FJ",3,1,1,0.0267857142857143,0.572125272407475,Inf,0.0267857142857143,1,FALSE
"Nanhai retrovirus 2","Toxocara sp. CTSZ",2,19,2,0.339285714285714,0.298320658538769,Inf,0.0275096525096525,1,FALSE
"Bombay duck fish bornavirus","Toxocara sp. CTSZ",2,19,2,0.339285714285714,0.298320658538769,Inf,0.0275096525096525,1,FALSE
"Nanhai reo-like virus 6","Toxocara sp. CTSZ",5,19,3,0.848214285714286,0.247868807174553,8.27596139636276,0.033673894912427,1,FALSE
"Odontamblyopus rubicundus hepacivirus","Nanhai reo-like virus 7",2,2,1,0.0357142857142857,0.490909090909091,77.4003602481656,0.0355534105534104,1,FALSE
"Paramonacanthus sulcatus filovirus","Caligus sp. RWXLT",2,2,1,0.0357142857142857,0.490909090909091,77.4003602481656,0.0355534105534104,1,FALSE
"Nanhai papillomavirus HM","Gymnothorax reevesii picornavirus",1,4,1,0.0357142857142857,0.493196961916072,Inf,0.0357142857142859,1,FALSE
"Nanhai reo-like virus 5","Pseudoloma sp. FJ",5,1,1,0.0446428571428571,0.439081760942985,Inf,0.0446428571428571,1,FALSE
"Nanhai reo-like virus 6","Pseudoloma sp. FJ",5,1,1,0.0446428571428571,0.439081760942985,Inf,0.0446428571428571,1,FALSE
"Aliivibrio fischeri","Pseudoloma sp. FJ",5,1,1,0.0446428571428571,0.439081760942985,Inf,0.0446428571428571,1,FALSE
"Nanhai circo-like virus 2","Nanhai reo-like virus 6",1,5,1,0.0446428571428571,0.439081760942985,Inf,0.0446428571428573,1,FALSE
"Nanhai reo-like virus 1","Nanhai reo-like virus 5",1,5,1,0.0446428571428571,0.439081760942985,Inf,0.0446428571428573,1,FALSE
"Nanhai reo-like virus 1","Nanhai reo-like virus 6",1,5,1,0.0446428571428571,0.439081760942985,Inf,0.0446428571428573,1,FALSE
"Nanhai retrovirus 2","Hydatigera sp. SDYY",2,3,1,0.0535714285714286,0.395203378419455,44.2947127555235,0.0530888030888031,1,FALSE
"Paramonacanthus sulcatus filovirus","Acinetobacter johnsonii",2,3,1,0.0535714285714286,0.395203378419455,44.2947127555235,0.0530888030888031,1,FALSE
"Paramonacanthus sulcatus filovirus","Photobacterium damselae",2,3,1,0.0535714285714286,0.395203378419455,44.2947127555235,0.0530888030888031,1,FALSE
"Nanhai reo-like virus 2","Asian seabass Nervous Necrosis Virus",2,3,1,0.0535714285714286,0.395203378419455,44.2947127555235,0.0530888030888031,1,FALSE
"Acinetobacter johnsonii","Photobacterium sp. QLXSD",3,2,1,0.0535714285714286,0.395203378419455,44.2947127555236,0.0530888030888033,1,FALSE
"Acinetobacter johnsonii","Caligus sp. RWXLT",3,2,1,0.0535714285714286,0.395203378419455,44.2947127555236,0.0530888030888033,1,FALSE
"Vibrio sp. Y","Caligus sp. RWXLT",3,2,1,0.0535714285714286,0.395203378419455,44.2947127555236,0.0530888030888033,1,FALSE
"Marble sleepy goby iridovirus","Taeniidae sp. QLXSDD",2,4,1,0.0714285714285714,0.337349542469993,31.0169870261916,0.0704633204633207,1,FALSE
"Nanhai retrovirus 2","Taeniidae sp. QLXSDD",2,4,1,0.0714285714285714,0.337349542469993,31.0169870261916,0.0704633204633207,1,FALSE
"Vibrio ponticus","Photobacterium swingsii",8,1,1,0.0714285714285714,0.342223782220227,Inf,0.0714285714285713,1,FALSE
"Vibrio ponticus","Pseudoloma sp. FJ",8,1,1,0.0714285714285714,0.342223782220227,Inf,0.0714285714285713,1,FALSE
"Vibrio ponticus","Eimeriorina sp. RWXLT",8,1,1,0.0714285714285714,0.342223782220227,Inf,0.0714285714285713,1,FALSE
"Photobacterium sp.","Besnoitia sp. HKL",8,1,1,0.0714285714285714,0.342223782220227,Inf,0.0714285714285713,1,FALSE
"Photobacterium sp.","Taeniidae sp. LZY",8,1,1,0.0714285714285714,0.342223782220227,Inf,0.0714285714285713,1,FALSE
"Nanhai papillomavirus ZBTTT","Vibrio ponticus",1,8,1,0.0714285714285714,0.342223782220227,Inf,0.0714285714285714,1,FALSE
"Pseudomonas aeruginosa","Photobacterium sp.",1,8,1,0.0714285714285714,0.342223782220227,Inf,0.0714285714285714,1,FALSE
"Acinetobacter johnsonii","Toxocara sp. CTSZ",3,19,2,0.508928571428571,0.219697097870016,10.4621405228081,0.0740259740259741,1,FALSE
"Photobacterium damselae","Clostridium sp. Y",3,3,1,0.0803571428571429,0.314984709480122,23.6797245741274,0.0789136539136537,1,FALSE
"Hydatigera sp. SDYY","Taeniidae sp. HBSZ",3,3,1,0.0803571428571429,0.314984709480122,23.6797245741274,0.0789136539136537,1,FALSE
"Aliivibrio fischeri","Caligus sp. RWXLT",5,2,1,0.0892857142857143,0.297311659037835,23.8143824804395,0.0876769626769625,1,FALSE
"Paramonacanthus sulcatus filovirus","Nanhai reo-like virus 5",2,5,1,0.0892857142857143,0.297311659037835,23.8143824804395,0.0876769626769628,1,FALSE
"Paramonacanthus sulcatus filovirus","Nanhai reo-like virus 6",2,5,1,0.0892857142857143,0.297311659037835,23.8143824804395,0.0876769626769628,1,FALSE
"Paramonacanthus sulcatus filovirus","Aliivibrio fischeri",2,5,1,0.0892857142857143,0.297311659037835,23.8143824804395,0.0876769626769628,1,FALSE
"Taeniidae sp. QLXSDD","Taeniidae sp. HBSZ",4,3,1,0.107142857142857,0.266062857005875,16.2011053417412,0.104264654264654,1,FALSE
"Nanhai reo-like virus 5","Asian seabass Nervous Necrosis Virus",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Nanhai reo-like virus 5","Acinetobacter johnsonii",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Nanhai reo-like virus 5","Vibrio sp. Y",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Nanhai reo-like virus 5","Hydatigera sp. SDYY",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Nanhai reo-like virus 5","Taeniidae sp. HBSZ",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Nanhai reo-like virus 6","Asian seabass Nervous Necrosis Virus",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Nanhai reo-like virus 6","Acinetobacter johnsonii",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Nanhai reo-like virus 6","Vibrio sp. Y",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Aliivibrio fischeri","Photobacterium damselae",5,3,1,0.133928571428571,0.231910796199828,12.2822933617651,0.129146191646192,1,FALSE
"Photobacterium sp.","Toxocara sp. CTSZ",8,19,3,1.35714285714286,0.151753209558742,3.25291255528938,0.133139868290215,1,FALSE
"Paramonacanthus sulcatus filovirus","Vibrio ponticus",2,8,1,0.142857142857143,0.22438727760203,13.8306148097747,0.138352638352638,1,FALSE
"Arius arius calicivirus","Vibrio ponticus",2,8,1,0.142857142857143,0.22438727760203,13.8306148097747,0.138352638352638,1,FALSE
"Vibrio ponticus","Caligus sp. RWXLT",8,2,1,0.142857142857143,0.22438727760203,13.8306148097747,0.138352638352638,1,FALSE
"Nanhai reo-like virus 5","Taeniidae sp. QLXSDD",5,4,1,0.178571428571429,0.191367887581405,8.27160933645704,0.169093614047742,1,FALSE
"Nanhai circo-like virus 2","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Nanhai parvovirus LTY1","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Nanhai astrovirus LZMB","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Nanhai filovirus 3","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Nanhai rhabdovirus 1","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Nanhai paramyxovirus 2","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Psenopsis anomala picornavirus","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Polydactylus sextarius picornavirus","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Nanhai reo-like virus 1","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Pseudomonas aeruginosa","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Photobacterium swingsii","Toxocara sp. CTSZ",1,19,1,0.169642857142857,0.209992210110886,Inf,0.169642857142857,1,FALSE
"Toxocara sp. CTSZ","Toxocara sp. LYS",19,1,1,0.169642857142857,0.209992210110886,Inf,0.169642857142858,1,FALSE
"Toxocara sp. CTSZ","Cystoisospora sp. DSLT-2",19,1,1,0.169642857142857,0.209992210110886,Inf,0.169642857142858,1,FALSE
"Toxocara sp. CTSZ","Sarcocystidae sp. DSLT",19,1,1,0.169642857142857,0.209992210110886,Inf,0.169642857142858,1,FALSE
"Toxocara sp. CTSZ","Taeniidae sp. LZY",19,1,1,0.169642857142857,0.209992210110886,Inf,0.169642857142858,1,FALSE
"Toxocara sp. CTSZ","Eimeriorina sp. RWXLT",19,1,1,0.169642857142857,0.209992210110886,Inf,0.169642857142858,1,FALSE
"Nanhai reo-like virus 5","Toxocara sp. CTSZ",5,19,2,0.848214285714286,0.132676664421234,3.47484779443593,0.199081066053543,1,FALSE
"Photobacterium sp.","Hydatigera sp. SDYY",8,3,1,0.214285714285714,0.168712450190293,7.01748336952174,0.201017901017901,1,FALSE
"Acinetobacter johnsonii","Photobacterium sp.",3,8,1,0.214285714285714,0.168712450190293,7.01748336952173,0.201017901017901,1,FALSE
"Nanhai reo-like virus 5","Aliivibrio fischeri",5,5,1,0.223214285714286,0.162616822429907,6.21398764733421,0.207561502286273,1,FALSE
