lib_id,genus,class,order,family,species,species_abbreviation,plot_group
YS-HM-1,Anguilliformes,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax reevesii,Gy. reevesii,Anguilliformes
YS-HM-2,Anguilliformes,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax reevesii,Gy. reevesii,Anguilliformes
YS-HM-3,Anguilliformes,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax reevesii,Gy. reevesii,Anguilliformes
YS-HM-4,Anguilliformes,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax reevesii,Gy. reevesii,Anguilliformes
YS-CTSZ-1,Aulopiformes,Actinopteri,Aulopiformes,Synodontidae,Saurida elongata,Sa. elongata,Aulopiformes
YS-CTSZ-2,Aulopiformes,Actinopteri,Aulopiformes,Synodontidae,Saurida elongata,Sa. elongata,Aulopiformes
YS-CTSZ-3,Aulopiformes,Actinopteri,Aulopiformes,Synodontidae,Saurida elongata,Sa. elongata,Aulopiformes
YS-HBSZ-2,Aulopiformes,Actinopteri,Aulopiformes,Synodontidae,Saurida undosquamis,Sa. undosquamis,Aulopiformes
YS-HBSZ-3,Aulopiformes,Actinopteri,Aulopiformes,Synodontidae,Saurida undosquamis,Sa. undosquamis,Aulopiformes
YS-LTY-1,Aulopiformes,Actinopteri,Aulopiformes,Synodontidae,Harpadon nehereus,Ha. nehereus,Aulopiformes
YS-LTY-2,Aulopiformes,Actinopteri,Aulopiformes,Synodontidae,Harpadon nehereus,Ha. nehereus,Aulopiformes
YS-LTY-3,Aulopiformes,Actinopteri,Aulopiformes,Synodontidae,Harpadon nehereus,Ha. nehereus,Aulopiformes
YS-LZMB-1,Others,Actinopteri,Carangaria incertae sedis,Polynemidae,Polydactylus sextarius,Po. sextarius,Others
YS-LZMB-3,Others,Actinopteri,Carangaria incertae sedis,Polynemidae,Polydactylus sextarius,Po. sextarius,Others
YS-SZMB-1,Others,Actinopteri,Carangaria incertae sedis,Polynemidae,Eleutheronema tetradactylum,El. tetradactylum,Others
YS-LYS-3,Others,Actinopteri,Carangiformes,Carangidae,Decapterus maruadsi,De. maruadsi,Others
