lib_id,Osteomugil cunnesius hepadna-like virus,Nanhai hepadna-like virus 1,Nanhai circo-like virus 2,Cynoglossus gracilis herpes-like virus,Nanhai parvovirus LTY1,Marble sleepy goby iridovirus,Nanhai papillomavirus ZBTTT,Nanhai papillomavirus HM,Nanhai retrovirus 1,Nanhai retrovirus 2,Wenzhou pacific spadenose shark astrovirus 2,Nanhai astrovirus LZMB,Cynoglossus gracilis hantavirus,Odontamblyopus rubicundus hepacivirus,Johnius belangerii hepacivirus,Telatrygon zugei hepacivirus,Bombay duck fish bornavirus,Paramonacanthus sulcatus filovirus,Nanhai filovirus 1,Nanhai filovirus 2,Nanhai filovirus 3,Nanhai rhabdovirus 1,Nanhai paramyxovirus 1,Nanhai paramyxovirus 2,Psenopsis anomala artervirus,Nanhai amnoonvirus 1,Arius arius calicivirus,Psenopsis anomala picornavirus,Leiognathus ruconius picornavirus,Polydactylus sextarius picornavirus,Bregmaceros mcclellandi picornavirus,Gymnothorax reevesii picornavirus,Thryssa dussumieri picornavirus,Micropterus salmoides reovirus,Wenzhou pacific spadenose shark reovirus 2,Nanhai reo-like virus 1,Nanhai reo-like virus 2,Nanhai reo-like virus 4,Nanhai reo-like virus 5,Nanhai reo-like virus 6,Nanhai reo-like virus 7,Asian seabass Nervous Necrosis Virus,Aliivibrio fischeri,Acinetobacter johnsonii,Pseudomonas aeruginosa,Vibrio ponticus,Photobacterium swingsii,Photobacterium damselae,Photobacterium damselae QLXSD,Clostridium sp. Y,Photobacterium sp.,Vibrio sp. Y,Clostridium sp. SQHN,Pseudoloma sp. FJ,Glugea plecoglossi,Toxocara sp. CTSZ,Lepeophtheirus sp. SQHN,Toxocara sp. HBSXST,Toxoplasma sp. LZY,Toxocara sp. LYS,Besnoitia sp. HKL,Cystoisospora sp. DSLT-4,Caligus sp. RWXLT,Hydatigera sp. SDYY,Cystoisospora sp. DSLT-2,Sarcocystidae sp. DSLT,Sarcocystidae sp. SZMB,Toxocaridae sp. Z,Eimeria sp. SZMB,Taeniidae sp. QLXSDD,Taeniidae sp. LZY,Taeniidae sp. HBSZ,Opisthorchiidae sp. SZMB,Eimeriorina sp. RWXLT,Strigeidida sp. FJ
YS-HM-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538723882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96790222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS-HM-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.912684449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS-HM-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.239354805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS-HM-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.6051429930001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS-CTSZ-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.09067073,0.0,45.94576461,3.1403266629999997,0.0,0.534122431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS-CTSZ-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.676004451,1345.1093396669999,0.0,2.583222905,8.829205818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664028001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS-CTSZ-3,0.0,0.0,19.534856705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.855969055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97189129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS-HBSZ-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26856028229636,0.0,0.0,0.0,3.084311603,0.0,2.421909111,0.0,0.0,0.0,0.0,18.287001847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.097684226,0.0,0.0,0.0,0.0
YS-HBSZ-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.886031544,0.0,0.0,0.0
YS-LTY-1,0.0,0.0,0.0,0.0,32.992962236000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4766.4064699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.77040603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS-LTY-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.100606105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
