virus_name,is_core,Species name,matrix_name,Genome Type,Kingdom,classification
Osteomugil cunnesius hepadna-like virus,TRUE,Osteomugil cunnesius hepadna-like virus,Osteomugil cunnesius hepadna-like virus,partially dsDNA-RT,k__Viruses,DNA virus
Nanhai hepadna-like virus 1,TRUE,Nanhai hepadna-like virus 1,Nanhai hepadna-like virus 1,partially dsDNA-RT,k__Viruses,DNA virus
Nanhai circo-like virus 2,TRUE,Nanhai circo-like virus 2,Nanhai circo-like virus 2,ssDNA,k__Viruses,DNA virus
Cynoglossus gracilis herpes-like virus,TRUE,Cynoglossus gracilis herpes-like virus,Cynoglossus gracilis herpes-like virus,dsDNA,k__Viruses,DNA virus
Nanhai parvovirus LTY1,TRUE,Nanhai parvovirus LTY1,Nanhai parvovirus LTY1,ssDNA,k__Viruses,DNA virus
Marble sleepy goby iridovirus,TRUE,Marble sleepy goby iridovirus,Marble sleepy goby iridovirus,dsDNA,k__Viruses,DNA virus
Nanhai papillomavirus ZBTTT,TRUE,Nanhai papillomavirus ZBTTT,Nanhai papillomavirus ZBTTT,dsDNA,k__Viruses,DNA virus
Nanhai papillomavirus HM,TRUE,Nanhai papillomavirus HM,Nanhai papillomavirus HM,dsDNA,k__Viruses,DNA virus
Nanhai retrovirus 1,TRUE,Nanhai retrovirus 1,Nanhai retrovirus 1,+ssRNA-RT,k__Viruses,RNA virus
Nanhai retrovirus 2,TRUE,Nanhai retrovirus 2,Nanhai retrovirus 2,+ssRNA-RT,k__Viruses,RNA virus
Wenzhou pacific spadenose shark astrovirus 2,TRUE,Wenzhou pacific spadenose shark astrovirus 2,Wenzhou pacific spadenose shark astrovirus 2,+ssRNA,k__Viruses,RNA virus
Nanhai astrovirus LZMB,TRUE,Nanhai astrovirus LZMB,Nanhai astrovirus LZMB,+ssRNA,k__Viruses,RNA virus
Cynoglossus gracilis hantavirus,TRUE,Cynoglossus gracilis hantavirus,Cynoglossus gracilis hantavirus,tri-segmented −ssRNA,k__Viruses,RNA virus
Odontamblyopus rubicundus hepacivirus,TRUE,Odontamblyopus rubicundus hepacivirus,Odontamblyopus rubicundus hepacivirus,+ssRNA,k__Viruses,RNA virus
Johnius belangerii hepacivirus,TRUE,Johnius belangerii hepacivirus,Johnius belangerii hepacivirus,+ssRNA,k__Viruses,RNA virus
Telatrygon zugei hepacivirus,TRUE,Telatrygon zugei hepacivirus,Telatrygon zugei hepacivirus,+ssRNA,k__Viruses,RNA virus
Bombay duck fish bornavirus,TRUE,Bombay duck fish bornavirus,Bombay duck fish bornavirus,−ssRNA,k__Viruses,RNA virus
Paramonacanthus sulcatus filovirus,TRUE,Paramonacanthus sulcatus filovirus,Paramonacanthus sulcatus filovirus,−ssRNA,k__Viruses,RNA virus
Nanhai filovirus 1,TRUE,Nanhai filovirus 1,Nanhai filovirus 1,−ssRNA,k__Viruses,RNA virus
Nanhai filovirus 2,TRUE,Nanhai filovirus 2,Nanhai filovirus 2,−ssRNA,k__Viruses,RNA virus
Nanhai filovirus 3,TRUE,Nanhai filovirus 3,Nanhai filovirus 3,−ssRNA,k__Viruses,RNA virus
Nanhai rhabdovirus 1,TRUE,Nanhai rhabdovirus 1,Nanhai rhabdovirus 1,−ssRNA,k__Viruses,RNA virus
Nanhai paramyxovirus 1,TRUE,Nanhai paramyxovirus 1,Nanhai paramyxovirus 1,−ssRNA,k__Viruses,RNA virus
Nanhai paramyxovirus 2,TRUE,Nanhai paramyxovirus 2,Nanhai paramyxovirus 2,−ssRNA,k__Viruses,RNA virus
Psenopsis anomala artervirus,TRUE,Psenopsis anomala artervirus,Psenopsis anomala artervirus,+ssRNA,k__Viruses,RNA virus
Nanhai amnoonvirus 1,TRUE,Nanhai amnoonvirus 1,Nanhai amnoonvirus 1,ten-segmented −ssRNA,k__Viruses,RNA virus
Arius arius calicivirus,TRUE,Arius arius calicivirus,Arius arius calicivirus,+ssRNA,k__Viruses,RNA virus
Psenopsis anomala picornavirus,TRUE,Psenopsis anomala picornavirus,Psenopsis anomala picornavirus,+ssRNA,k__Viruses,RNA virus
Leiognathus ruconius picornavirus,TRUE,Leiognathus ruconius picornavirus,Leiognathus ruconius picornavirus,+ssRNA,k__Viruses,RNA virus
Polydactylus sextarius picornavirus,TRUE,Polydactylus sextarius picornavirus,Polydactylus sextarius picornavirus,+ssRNA,k__Viruses,RNA virus
Bregmaceros mcclellandi picornavirus,TRUE,Bregmaceros mcclellandi picornavirus,Bregmaceros mcclellandi picornavirus,+ssRNA,k__Viruses,RNA virus
Gymnothorax reevesii picornavirus,TRUE,Gymnothorax reevesii picornavirus,Gymnothorax reevesii picornavirus,+ssRNA,k__Viruses,RNA virus
