source	target	host_label	host_species	host_class	host_order	pathogen	RPM	log10_RPM_plus1
host::Sc. macrorhynchos	pathogen::Wenzhou pacific spadenose shark astrovirus 2	Sc. macrorhynchos	Scoliodon macrorhynchos	Chondrichthyes	Carcharhiniformes	Wenzhou pacific spadenose shark astrovirus 2	15.92392214	1.2285010186536944
host::Po. sextarius	pathogen::Nanhai astrovirus LZMB	Po. sextarius	Polydactylus sextarius	Actinopteri	Carangaria incertae sedis	Nanhai astrovirus LZMB	46.85670635	1.6799428057851076
host::Cy. gracilis	pathogen::Cynoglossus gracilis hantavirus	Cy. gracilis	Cynoglossus gracilis	Actinopteri	Pleuronectiformes	Cynoglossus gracilis hantavirus	9.130294431	1.0056220680552808
host::Te. zugei	pathogen::Telatrygon zugei hepacivirus	Te. zugei	Telatrygon zugei	Chondrichthyes	Myliobatiformes	Telatrygon zugei hepacivirus	8.640509703	0.984099996075903
host::Od. rubicundus	pathogen::Odontamblyopus rubicundus hepacivirus	Od. rubicundus	Odontamblyopus rubicundus	Actinopteri	Gobiiformes	Odontamblyopus rubicundus hepacivirus	476.13576449	2.678641971030767
host::Jo. belangerii	pathogen::Johnius belangerii hepacivirus	Jo. belangerii	Johnius belangerii	Actinopteri	Eupercaria incertae sedis	Johnius belangerii hepacivirus	98.35979672100001	1.997210694315614
host::Ha. nehereus	pathogen::Bombay duck fish bornavirus	Ha. nehereus	Harpadon nehereus	Actinopteri	Aulopiformes	Bombay duck fish bornavirus	5575.997104550001	3.7464004190158064
host::La. spadiceus	pathogen::Paramonacanthus sulcatus filovirus	La. spadiceus	Lagocephalus spadiceus	Actinopteri	Tetraodontiformes	Paramonacanthus sulcatus filovirus	2.35688469	0.5259364233579904
host::Pa. sulcatus	pathogen::Paramonacanthus sulcatus filovirus	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Paramonacanthus sulcatus filovirus	14.61741959	1.1936092785553611
host::Th. dussumieri	pathogen::Nanhai filovirus 1	Th. dussumieri	Thryssa dussumieri	Actinopteri	Clupeiformes	Nanhai filovirus 1	5.147319722	0.7886858013572974
host::Il. elongata	pathogen::Nanhai filovirus 2	Il. elongata	Ilisha elongata	Actinopteri	Clupeiformes	Nanhai filovirus 2	0.634575993	0.21340511615124427
host::Th. kammalensis	pathogen::Nanhai filovirus 3	Th. kammalensis	Thryssa kammalensis	Actinopteri	Clupeiformes	Nanhai filovirus 3	1.712438238	0.43335985811882866
host::Po. sextarius	pathogen::Nanhai rhabdovirus 1	Po. sextarius	Polydactylus sextarius	Actinopteri	Carangaria incertae sedis	Nanhai rhabdovirus 1	0.354545296	0.13179353242118852
host::Th. kammalensis	pathogen::Nanhai paramyxovirus 1	Th. kammalensis	Thryssa kammalensis	Actinopteri	Clupeiformes	Nanhai paramyxovirus 1	23.44087083	1.3881166757900751
host::Ps. anomala	pathogen::Nanhai paramyxovirus 2	Ps. anomala	Psenopsis anomala	Actinopteri	Scombriformes	Nanhai paramyxovirus 2	98.95624699	1.9998099415107158
host::Ps. anomala	pathogen::Psenopsis anomala artervirus	Ps. anomala	Psenopsis anomala	Actinopteri	Scombriformes	Psenopsis anomala artervirus	29.0580279	1.4779604832288131
host::Ku. rodericensis	pathogen::Nanhai amnoonvirus 1	Ku. rodericensis	Kumococius rodericensis	Actinopteri	Perciformes	Nanhai amnoonvirus 1	0.267702116	0.10301721523669792
host::Ar. arius	pathogen::Arius arius calicivirus	Ar. arius	Arius arius	Actinopteri	Siluriformes	Arius arius calicivirus	49.482616339	1.7031418547968096
host::Br. mcclellandi	pathogen::Bregmaceros mcclellandi picornavirus	Br. mcclellandi	Bregmaceros mcclellandi	Actinopteri	Gadiformes	Bregmaceros mcclellandi picornavirus	146.3644565	2.1683927467024837
host::Th. dussumieri	pathogen::Thryssa dussumieri picornavirus	Th. dussumieri	Thryssa dussumieri	Actinopteri	Clupeiformes	Thryssa dussumieri picornavirus	334.547838618	2.5257544457173564
host::De. ruconius	pathogen::Leiognathus ruconius picornavirus	De. ruconius	Deveximentum ruconius	Actinopteri	Chaetodontiformes	Leiognathus ruconius picornavirus	33.162094928	1.533544495148508
host::Po. sextarius	pathogen::Polydactylus sextarius picornavirus	Po. sextarius	Polydactylus sextarius	Actinopteri	Carangaria incertae sedis	Polydactylus sextarius picornavirus	888.459941682	2.949126393681091
host::Ps. anomala	pathogen::Psenopsis anomala picornavirus	Ps. anomala	Psenopsis anomala	Actinopteri	Scombriformes	Psenopsis anomala picornavirus	1.561549497	0.40850275219607346
host::Gy. reevesii	pathogen::Gymnothorax reevesii picornavirus	Gy. reevesii	Gymnothorax reevesii	Actinopteri	Anguilliformes	Gymnothorax reevesii picornavirus	295.119941474	2.471467654874958
host::Th. setirostris	pathogen::Micropterus salmoides reovirus	Th. setirostris	Thryssa setirostris	Actinopteri	Clupeiformes	Micropterus salmoides reovirus	89.54396997399999	1.9568595325714582
host::Sc. macrorhynchos	pathogen::Wenzhou pacific spadenose shark reovirus 2	Sc. macrorhynchos	Scoliodon macrorhynchos	Chondrichthyes	Carcharhiniformes	Wenzhou pacific spadenose shark reovirus 2	190.994086712	2.2832878529332583
host::Sa. elongata	pathogen::Nanhai reo-like virus 1	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Nanhai reo-like virus 1	4.676004451	0.7540427273499151
host::Sa. elongata	pathogen::Nanhai reo-like virus 2	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Nanhai reo-like virus 2	2629.200010397	3.4199887751471514
host::Sc. argus	pathogen::Nanhai reo-like virus 4	Sc. argus	Scatophagus argus	Actinopteri	Eupercaria incertae sedis	Nanhai reo-like virus 4	4520.642293176999	3.6552962023604967
host::Sa. elongata	pathogen::Nanhai reo-like virus 5	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Nanhai reo-like virus 5	48.528987515	1.6948594501075744
host::Le. savala	pathogen::Nanhai reo-like virus 5	Le. savala	Lepturacanthus savala	Actinopteri	Scombriformes	Nanhai reo-like virus 5	15.298893839	1.2121581310346494
host::Pa. sulcatus	pathogen::Nanhai reo-like virus 5	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Nanhai reo-like virus 5	30.797558941	1.5023937810175958
host::Sa. elongata	pathogen::Nanhai reo-like virus 6	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Nanhai reo-like virus 6	15.825501536	1.2259680185763075
host::Pa. sulcatus	pathogen::Nanhai reo-like virus 6	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Nanhai reo-like virus 6	6.137258916	0.8535314518011311
host::Od. rubicundus	pathogen::Nanhai reo-like virus 7	Od. rubicundus	Odontamblyopus rubicundus	Actinopteri	Gobiiformes	Nanhai reo-like virus 7	2167.235718622	3.336106494532398
