metric	value
random_seed	20260815
nodes	117
host_nodes	42
pathogen_nodes	75
edges	118
host_orders	20
host_radius_mean	0.98
host_radius_cv	6.61997338795638e-17
outer_radius_mean	1.125
outer_radius_cv	4.52804675474445e-17
outer_radius_target	1.125
within_order_gap_radians	0.101341698502897
between_order_gap_radians	0.202683397005793
host_marker_size	12
outer_marker_size	3.15
host_label_size_mm	2.2529196070292
inner_label_size_mm	3.2829196070292
outer_label_size_mm	2.5914598035146
band_inner	0.91
band_outer	1.05
band_corner_radius	0.07
host_order_legend_columns	1
legend_title_size_pt	14
legend_text_size_pt	11.2
order_band_white_gap_radians	0.059704497234752
order_band_white_gap_degrees	3.42081570950179
order_band_count	20
cross_zero_order_count	1
order_sequence	Anguilliformes;Carangiformes;Mugiliformes;Aulopiformes;Lutjaniformes;Pleuronectiformes;Gadiformes;Clupeiformes;Spariformes;Siluriformes;Chaetodontiformes;Perciformes;Carcharhiniformes;Gobiiformes;Tetraodontiformes;Eupercaria incertae sedis;Scombriformes;Myctophiformes;Carangaria incertae sedis;Myliobatiformes
crossing_reduction_percent	76.71
min_inner_node_distance	0.115643315512148
