node_id	label	node_type	node_zone	host_label	species	host_class	host_order	family	genus	classification	taxonomy	novelty	multi_tissue_distribution	connected_hosts	connected_orders	x	y	angle_degrees	radius
host::Gy. reevesii	Gy. reevesii	Host species	host_ring	Gy. reevesii	Gymnothorax reevesii	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax					NA	NA	6.00057113372965e-17	0.98	90	0.98
host::Ha. nehereus	Ha. nehereus	Host species	host_ring	Ha. nehereus	Harpadon nehereus	Actinopteri	Aulopiformes	Synodontidae	Harpadon					NA	NA	-0.559842850792896	0.804348172383131	124.838709677419	0.98
host::Sa. elongata	Sa. elongata	Host species	host_ring	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Synodontidae	Saurida					NA	NA	-0.638345033067778	0.743582960238935	130.645161290323	0.98
host::Sa. undosquamis	Sa. undosquamis	Host species	host_ring	Sa. undosquamis	Saurida undosquamis	Actinopteri	Aulopiformes	Synodontidae	Saurida					NA	NA	-0.710296931484537	0.675187580694173	136.451612903226	0.98
host::El. tetradactylum	El. tetradactylum	Host species	host_ring	El. tetradactylum	Eleutheronema tetradactylum	Actinopteri	Carangaria incertae sedis	Polynemidae	Eleutheronema					NA	NA	0.475595923280448	0.856859683821697	60.9677419354847	0.98
host::Po. sextarius	Po. sextarius	Host species	host_ring	Po. sextarius	Polydactylus sextarius	Actinopteri	Carangaria incertae sedis	Polynemidae	Polydactylus					NA	NA	0.386468738011039	0.900578655387832	66.7741935483879	0.98
host::De. maruadsi	De. maruadsi	Host species	host_ring	De. maruadsi	Decapterus maruadsi	Actinopteri	Carangiformes	Carangidae	Decapterus					NA	NA	-0.197272549686887	0.959939342427445	101.612903225806	0.98
host::De. ruconius	De. ruconius	Host species	host_ring	De. ruconius	Deveximentum ruconius	Actinopteri	Chaetodontiformes	Leiognathidae	Deveximentum					NA	NA	0.293375860513894	-0.935056471272047	287.41935483871	0.98
host::Co. mystus	Co. mystus	Host species	host_ring	Co. mystus	Coilia mystus	Actinopteri	Clupeiformes	Engraulidae	Coilia					NA	NA	-0.968698957841549	-0.148399221954485	188.709677419355	0.98
host::Il. elongata	Il. elongata	Host species	host_ring	Il. elongata	Ilisha elongata	Actinopteri	Clupeiformes	Pristigasteridae	Ilisha					NA	NA	-0.879848448779327	-0.431586268526481	206.129032258064	0.98
host::Il. melastoma	Il. melastoma	Host species	host_ring	Il. melastoma	Ilisha melastoma	Actinopteri	Clupeiformes	Pristigasteridae	Ilisha					NA	NA	-0.831671372344856	-0.518384730120423	211.935483870968	0.98
host::Sa. fijiensis	Sa. fijiensis	Host species	host_ring	Sa. fijiensis	Sardinella fijiensis	Actinopteri	Clupeiformes	Clupeidae	Sardinella					NA	NA	-0.710296931484538	-0.675187580694173	223.548387096774	0.98
