node_id	label	node_type	node_zone	host_label	species	host_class	host_order	family	genus	classification	taxonomy	novelty	multi_tissue_distribution	connected_hosts	connected_orders
host::Gy. reevesii	Gy. reevesii	Host species	host_ring	Gy. reevesii	Gymnothorax reevesii	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax						
host::Ha. nehereus	Ha. nehereus	Host species	host_ring	Ha. nehereus	Harpadon nehereus	Actinopteri	Aulopiformes	Synodontidae	Harpadon						
host::Sa. elongata	Sa. elongata	Host species	host_ring	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Synodontidae	Saurida						
host::Sa. undosquamis	Sa. undosquamis	Host species	host_ring	Sa. undosquamis	Saurida undosquamis	Actinopteri	Aulopiformes	Synodontidae	Saurida						
host::El. tetradactylum	El. tetradactylum	Host species	host_ring	El. tetradactylum	Eleutheronema tetradactylum	Actinopteri	Carangaria incertae sedis	Polynemidae	Eleutheronema						
host::Po. sextarius	Po. sextarius	Host species	host_ring	Po. sextarius	Polydactylus sextarius	Actinopteri	Carangaria incertae sedis	Polynemidae	Polydactylus						
host::De. maruadsi	De. maruadsi	Host species	host_ring	De. maruadsi	Decapterus maruadsi	Actinopteri	Carangiformes	Carangidae	Decapterus						
host::De. ruconius	De. ruconius	Host species	host_ring	De. ruconius	Deveximentum ruconius	Actinopteri	Chaetodontiformes	Leiognathidae	Deveximentum						
host::Co. mystus	Co. mystus	Host species	host_ring	Co. mystus	Coilia mystus	Actinopteri	Clupeiformes	Engraulidae	Coilia						
host::Il. elongata	Il. elongata	Host species	host_ring	Il. elongata	Ilisha elongata	Actinopteri	Clupeiformes	Pristigasteridae	Ilisha						
host::Il. melastoma	Il. melastoma	Host species	host_ring	Il. melastoma	Ilisha melastoma	Actinopteri	Clupeiformes	Pristigasteridae	Ilisha						
host::Sa. fijiensis	Sa. fijiensis	Host species	host_ring	Sa. fijiensis	Sardinella fijiensis	Actinopteri	Clupeiformes	Clupeidae	Sardinella						
host::Sa. lemuru	Sa. lemuru	Host species	host_ring	Sa. lemuru	Sardinella lemuru	Actinopteri	Clupeiformes	Clupeidae	Sardinella						
host::Sa. melanura	Sa. melanura	Host species	host_ring	Sa. melanura	Sardinella melanura	Actinopteri	Clupeiformes	Clupeidae	Sardinella						
host::Sa. zunasi	Sa. zunasi	Host species	host_ring	Sa. zunasi	Sardinella zunasi	Actinopteri	Clupeiformes	Clupeidae	Sardinella						
host::Se. tenuifilis	Se. tenuifilis	Host species	host_ring	Se. tenuifilis	Setipinna tenuifilis	Actinopteri	Clupeiformes	Engraulidae	Setipinna						
host::Th. dussumieri	Th. dussumieri	Host species	host_ring	Th. dussumieri	Thryssa dussumieri	Actinopteri	Clupeiformes	Engraulidae	Thryssa						
host::Th. hamiltonii	Th. hamiltonii	Host species	host_ring	Th. hamiltonii	Thryssa hamiltonii	Actinopteri	Clupeiformes	Engraulidae	Thryssa						
host::Th. kammalensis	Th. kammalensis	Host species	host_ring	Th. kammalensis	Thryssa kammalensis	Actinopteri	Clupeiformes	Engraulidae	Thryssa						
