order_index	host_order	host_count	start_degrees_unwrapped	end_degrees_unwrapped	start_degrees_normalized	end_degrees_normalized	crosses_zero_degrees	fill_colour
1	Anguilliformes	1	85.9039562418477	94.0960437581523	85.9039562418477	94.0960437581523	FALSE	#e0f3db
2	Carangiformes	1	97.5168594676541	105.708946983959	97.5168594676541	105.708946983959	FALSE	#ccebc5
3	Mugiliformes	1	109.129762693461	117.321850209765	109.129762693461	117.321850209765	FALSE	#fff7ec
4	Aulopiformes	3	120.742665919267	140.547656661378	120.742665919267	140.547656661378	FALSE	#fee8c8
5	Lutjaniformes	1	143.96847237088	152.160559887185	143.96847237088	152.160559887185	FALSE	#fdd49e
6	Pleuronectiformes	2	155.581375596686	169.579914725894	155.581375596686	169.579914725894	FALSE	#fff7fb
7	Gadiformes	1	173.000730435396	181.192817951701	173.000730435396	181.192817951701	FALSE	#ece7f2
8	Clupeiformes	12	184.613633661202	256.676688919443	184.613633661202	256.676688919443	FALSE	#d0d1e6
9	Spariformes	1	260.097504628945	268.289592145249	260.097504628945	268.289592145249	FALSE	#fde0dd
10	Siluriformes	1	271.710407854751	279.902495371056	271.710407854751	279.902495371056	FALSE	#fcc5c0
11	Chaetodontiformes	1	283.323311080558	291.515398596862	283.323311080558	291.515398596862	FALSE	#f9f9ed
12	Perciformes	2	294.936214306364	308.934753435572	294.936214306364	308.934753435572	FALSE	#fcfbde
13	Carcharhiniformes	1	312.355569145074	320.547656661378	312.355569145074	320.547656661378	FALSE	#fffacc
14	Gobiiformes	1	323.96847237088	332.160559887185	323.96847237088	332.160559887185	FALSE	#d9f0a3
15	Tetraodontiformes	2	335.581375596687	349.579914725895	335.581375596687	349.579914725895	FALSE	#f2e0df
16	Eupercaria incertae sedis	5	353.000730435397	384.418624403314	353.000730435397	24.4186244033142	TRUE	#e5f5f9
17	Scombriformes	2	387.839440112816	401.837979242024	27.8394401128161	41.837979242024	FALSE	#ccece6
18	Myctophiformes	1	405.258794951526	413.450882467831	45.2587949515258	53.4508824678305	FALSE	#e0ecf4
19	Carangaria incertae sedis	2	416.871698177332	430.87023730654	56.8716981773323	70.8702373065402	FALSE	#bfd3e6
20	Myliobatiformes	1	434.291053016042	442.483140532347	74.2910530160421	82.4831405323468	FALSE	#f7fcf0
