order_index	host_order	colour
1	Anguilliformes	#e0f3db
2	Carangiformes	#ccebc5
3	Mugiliformes	#fff7ec
4	Aulopiformes	#fee8c8
5	Lutjaniformes	#fdd49e
6	Pleuronectiformes	#fff7fb
7	Gadiformes	#ece7f2
8	Clupeiformes	#d0d1e6
9	Spariformes	#fde0dd
10	Siluriformes	#fcc5c0
11	Chaetodontiformes	#f9f9ed
12	Perciformes	#fcfbde
13	Carcharhiniformes	#fffacc
14	Gobiiformes	#d9f0a3
15	Tetraodontiformes	#f2e0df
16	Eupercaria incertae sedis	#e5f5f9
17	Scombriformes	#ccece6
18	Myctophiformes	#e0ecf4
19	Carangaria incertae sedis	#bfd3e6
20	Myliobatiformes	#f7fcf0
