lib_id	Order	Type
Saurida_elongata1	Aulopiformes	Actinopteri
Saurida_undosquamis2	Aulopiformes	Actinopteri
Thryssa_setirostris3	Clupeiformes	Actinopteri
Thryssa_kammalensis2	Clupeiformes	Actinopteri
Thryssa_dussumieri5	Clupeiformes	Actinopteri
Setipinna_tenuifilis3	Clupeiformes	Actinopteri
Ilisha_melastoma1	Clupeiformes	Actinopteri
Thryssa_hamiltonii1	Clupeiformes	Actinopteri
Thryssa_hamiltonii3	Clupeiformes	Actinopteri
Sardinella_lemuru1	Clupeiformes	Actinopteri
Sardinella_lemuru2	Clupeiformes	Actinopteri
Sardinella_lemuru3	Clupeiformes	Actinopteri
Sardinella_fijiensis1	Clupeiformes	Actinopteri
Sardinella_melanura2	Clupeiformes	Actinopteri
Sardinella_melanura3	Clupeiformes	Actinopteri
Deveximentum_ruconius2	Chaetodontiformes	Actinopteri
Siganus_canaliculatus1	Eupercaria incertae sedis	Actinopteri
Siganus_canaliculatus2	Eupercaria incertae sedis	Actinopteri
Lutjanus_johnii2	Lutjaniformes	Actinopteri
Inegocia_japonica2	Perciformes	Actinopteri
Nemipterus_japonicus1	Spariformes	Actinopteri
Arius_arius2	Siluriformes	Actinopteri
Paramonacanthus_sulcatus1	Tetraodontiformes	Actinopteri
Paramonacanthus_sulcatus2	Tetraodontiformes	Actinopteri
Paramonacanthus_sulcatus3	Tetraodontiformes	Actinopteri
Lagocephalus_spadiceus1	Tetraodontiformes	Actinopteri
Lagocephalus_spadiceus3	Tetraodontiformes	Actinopteri
