lib_id,Wenzhou pacific spadenose shark astrovirus 2,Nanhai astrovirus LZMB,Telatrygon zugei hepacivirus,Odontamblyopus rubicundus hepacivirus,Johnius belangerii hepacivirus,Bombay duck fish bornavirus,Paramonacanthus sulcatus filovirus,Nanhai filovirus 2,Nanhai filovirus 3,Nanhai rhabdovirus 1,Nanhai paramyxovirus 1,Nanhai paramyxovirus 2,Psenopsis anomala artervirus,Nanhai amnoonvirus 1,Arius arius calicivirus,Bregmaceros mcclellandi picornavirus,Leiognathus ruconius picornavirus,Polydactylus sextarius picornavirus,Psenopsis anomala picornavirus,Gymnothorax reevesii picornavirus,Asian seabass Nervous Necrosis Virus,Micropterus salmoides reovirus,Wenzhou pacific spadenose shark reovirus 2,Nanhai reo-like virus 1,Nanhai reo-like virus 2,Nanhai reo-like virus 4,Nanhai reo-like virus 5,Nanhai reo-like virus 6,Nanhai reo-like virus 7,Osteomugil cunnesius hepadna-like virus,Nanhai hepadna-like virus 1,Nanhai circo-like virus 2,Nanhai parvovirus LTY1,Marble sleepy goby iridovirus,Nanhai papillomavirus ZBTTT,Nanhai papillomavirus HM,Nanhai retrovirus 1,Nanhai retrovirus 2,Clostridium sp. SQHN,Clostridium sp. Y,Aliivibrio fischeri,Photobacterium sp.,Photobacterium damselae,Photobacterium sp. QLXSD,Photobacterium swingsii,Vibrio sp. Y,Vibrio ponticus,Acinetobacter johnsonii,Pseudomonas aeruginosa,Besnoitia sp. HKL,Cystoisospora sp. DSLT-2,Sarcocystidae sp. SZMB,Sarcocystidae sp. DSLT,Toxoplasma sp. LZY,Eimeriorina sp. RWXLT,Eimeria sp. SZMB,Glugea plecoglossi,Pseudoloma sp. FJ,Toxocaridae sp. Z,Toxocara sp. CTSZ,Toxocara sp. LYS,Taeniidae sp. HBSZ,Taeniidae sp. QLXSDD,Taeniidae sp. LZY,Opisthorchiidae sp. SZMB,Hydatigera sp. SDYY,Lepeophtheirus sp. SQHN,Caligus sp. RWXLT
YS_BGY_1_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0757305,0,0,0,0,0,0,0,0
YS_BGY_1_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63327076,0,0,0,0,0,0,0,0
YS_BGY_2_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.82698939,0,0,0,0,0,0,0,0
YS_BGY_2_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.06299388,0,0,0,0,0,0,0,0
YS_CBLT_1_K,0,0,0,0,0,0,0,0,0,0,23.44087083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CC_1_G,0,0,0,0,0,0,0,0,0,0,0,0,3.323025183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CC_1_K,0,0,0,0,0,0,0,0,0,0,0,0,2.972979526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CC_1_P,0,0,0,0,0,0,0,0,0,0,0,0,1.536404091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CC_1_S,0,0,0,0,0,0,0,0,0,0,0,0,21.2256191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YS_CC_2_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.70757265,0,0,0,0,0,0,0,0
YS_CC_3_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.561549497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.316807923,0,0,0,0,0,0,0,0
