lib_id,organ
YS_BGY_1_I,Intestine
YS_BGY_1_K,Kidney
YS_BGY_2_I,Intestine
YS_BGY_2_S,Spleen
YS_CBLT_1_K,Kidney
YS_CC_1_G,Gill
YS_CC_1_K,Kidney
YS_CC_1_P,Skin
YS_CC_1_S,Spleen
YS_CC_2_I,Intestine
YS_CC_3_I,Intestine
YS_CC_3_K,Kidney
YS_CHLT_3_H,Liver
YS_CHLT_3_I,Intestine
YS_CHLT_3_K,Kidney
YS_CHLT_3_S,Spleen
YS_CTSZ_1_B,Brain
YS_CTSZ_1_K,Kidney
YS_CTSZ_1_S,Spleen
YS_CTSZ_2_H,Liver
YS_CTSZ_2_K,Kidney
YS_CTSZ_2_P,Skin
YS_CTSZ_2_S,Spleen
YS_CTSZ_3_B,Brain
YS_CTSZ_3_G,Gill
YS_CTSZ_3_I,Intestine
YS_CTSZ_3_K,Kidney
YS_CTSZ_3_P,Skin
YS_CTSZ_3_S,Spleen
YS_DHY_2_B,Brain
YS_DHY_2_G,Gill
YS_DLLY_1_B,Brain
YS_DSLT_2_I,Intestine
YS_DSLT_2_K,Kidney
YS_DSLT_2_M,Muscles
YS_DSLT_2_P,Skin
YS_DSLT_2_S,Spleen
YS_DSLT_3_P,Skin
YS_DZTT_1_P,Skin
YS_HBSZ_2_H,Liver
YS_HBSZ_2_I,Intestine
YS_HBSZ_2_K,Kidney
YS_HBSZ_3_I,Intestine
YS_HJ_3_P,Skin
YS_HKL_1_I,Intestine
YS_HKL_1_P,Skin
YS_HKL_2_I,Intestine
YS_HM_1_G,Gill
YS_HM_1_K,Kidney
YS_HM_1_M,Muscles
YS_HM_1_P,Skin
YS_HM_2_B,Brain
YS_HM_2_G,Gill
YS_HM_2_M,Muscles
YS_HM_2_P,Skin
YS_HM_2_S,Spleen
YS_HM_3_G,Gill
YS_HM_3_M,Muscles
YS_HM_3_P,Skin
YS_HM_4_G,Gill
YS_HM_4_H,Liver
YS_HM_4_I,Intestine
YS_HM_4_K,Kidney
YS_HM_4_M,Muscles
YS_HM_4_P,Skin
YS_HM_4_S,Spleen
YS_HSLT_1_P,Skin
YS_HSLT_3_P,Skin
YS_JSXSD_1_P,Skin
YS_JSXSD_2_H,Liver
YS_JSXSD_2_I,Intestine
YS_JSXSD_2_K,Kidney
YS_JSXSD_2_M,Muscles
YS_JSXSD_2_P,Skin
YS_JSXSD_2_S,Spleen
YS_JSXSD_3_P,Skin
YS_JTZCS_1_G,Gill
YS_JTZCS_1_H,Liver
YS_JTZCS_1_I,Intestine
YS_JTZCS_1_K,Kidney
YS_JTZCS_1_M,Muscles
YS_JTZCS_1_P,Skin
