virus_species,Taxonomy
Wenzhou pacific spadenose shark astrovirus 2,Astroviridae
Nanhai astrovirus LZMB,Astroviridae
Telatrygon zugei hepacivirus,Hepaciviridae
Odontamblyopus rubicundus hepacivirus,Hepaciviridae
Johnius belangerii hepacivirus,Hepaciviridae
Bombay duck fish bornavirus,Bornaviridae
Paramonacanthus sulcatus filovirus,Filoviridae
Nanhai filovirus 2,Filoviridae
Nanhai filovirus 3,Filoviridae
Nanhai rhabdovirus 1,Rhabdoviridae
Nanhai paramyxovirus 1,Paramyxoviridae
Nanhai paramyxovirus 2,Paramyxoviridae
Psenopsis anomala artervirus,Nanhypoviridae
Nanhai amnoonvirus 1,Amnoonviridae
Arius arius calicivirus,Caliciviridae
Bregmaceros mcclellandi picornavirus,Picornaviridae
Leiognathus ruconius picornavirus,Picornaviridae
Polydactylus sextarius picornavirus,Picornaviridae
Psenopsis anomala picornavirus,Picornaviridae
Gymnothorax reevesii picornavirus,Picornaviridae
Asian seabass Nervous Necrosis Virus,Nodaviridae
Micropterus salmoides reovirus,Spinareoviridae
Wenzhou pacific spadenose shark reovirus 2,Spinareoviridae
Nanhai reo-like virus 1,Spinareoviridae
Nanhai reo-like virus 2,Spinareoviridae
Nanhai reo-like virus 4,Spinareoviridae
Nanhai reo-like virus 5,Spinareoviridae
Nanhai reo-like virus 6,Spinareoviridae
Nanhai reo-like virus 7,Spinareoviridae
Osteomugil cunnesius hepadna-like virus,Hepadnaviridae
Nanhai hepadna-like virus 1,Hepadnaviridae
Nanhai circo-like virus 2,Circoviridae
Nanhai parvovirus LTY1,Parvoviridae
Marble sleepy goby iridovirus,Iridoviridae
Nanhai papillomavirus ZBTTT,Papillomaviridae
Nanhai papillomavirus HM,Papillomaviridae
Nanhai retrovirus 1,Retroviridae
Nanhai retrovirus 2,Retroviridae
Clostridium sp. SQHN,Clostridium
Clostridium sp. Y,Clostridium
Aliivibrio fischeri,Aliivibrio
Photobacterium sp.,Photobacterium
Photobacterium damselae,Photobacterium
Photobacterium sp. QLXSD,Photobacterium
Photobacterium swingsii,Photobacterium
Vibrio sp. Y,Vibrio
Vibrio ponticus,Vibrio
Acinetobacter johnsonii,Acinetobacter
Pseudomonas aeruginosa,Pseudomonas
Besnoitia sp. HKL,Apicomplexa
Cystoisospora sp. DSLT-2,Apicomplexa
Sarcocystidae sp. SZMB,Apicomplexa
Sarcocystidae sp. DSLT,Apicomplexa
Toxoplasma sp. LZY,Apicomplexa
Eimeriorina sp. RWXLT,Apicomplexa
Eimeria sp. SZMB,Apicomplexa
Glugea plecoglossi,Microsporidia
Pseudoloma sp. FJ,Microsporidia
Toxocaridae sp. Z,Nematoda
Toxocara sp. CTSZ,Nematoda
Toxocara sp. LYS,Nematoda
Taeniidae sp. HBSZ,Platyhelminthes
Taeniidae sp. QLXSDD,Platyhelminthes
Taeniidae sp. LZY,Platyhelminthes
Opisthorchiidae sp. SZMB,Platyhelminthes
Hydatigera sp. SDYY,Platyhelminthes
Lepeophtheirus sp. SQHN,Arthropoda
Caligus sp. RWXLT,Arthropoda
