"Category","Tissue","Pathogen_count","Definition"
"RNA","Intestine",14,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"RNA","Spleen",17,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"RNA","Kidney",20,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"RNA","Skin",16,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"RNA","Gill",12,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"RNA","Liver",14,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"RNA","Muscles",11,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"RNA","Brain",10,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"DNA","Intestine",3,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"DNA","Spleen",3,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"DNA","Kidney",3,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"DNA","Skin",3,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"DNA","Gill",2,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"DNA","Liver",0,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"DNA","Muscles",0,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"DNA","Brain",1,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"BACTERIA","Intestine",9,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"BACTERIA","Spleen",2,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"BACTERIA","Kidney",1,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"BACTERIA","Skin",5,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"BACTERIA","Gill",1,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"BACTERIA","Liver",2,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"BACTERIA","Muscles",2,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"BACTERIA","Brain",1,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"EUKARYOTA","Intestine",12,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"EUKARYOTA","Spleen",5,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"EUKARYOTA","Kidney",3,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"EUKARYOTA","Skin",2,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"EUKARYOTA","Gill",3,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"EUKARYOTA","Liver",2,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"EUKARYOTA","Muscles",3,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
"EUKARYOTA","Brain",1,"Number of classified pathogens with RPM > 0 in at least one of 112 libraries"
