Pathogen	Pathogen taxa	Classification	Category
Wenzhou pacific spadenose shark astrovirus 2	Astro-Poty	RNA virus	RNA
Nanhai astrovirus LZMB	Astro-Poty	RNA virus	RNA
Cynoglossus gracilis hantavirus	Bunya-Arena	RNA virus	RNA
Telatrygon zugei hepacivirus	Flavi	RNA virus	RNA
Odontamblyopus rubicundus hepacivirus	Flavi	RNA virus	RNA
Johnius belangerii hepacivirus	Flavi	RNA virus	RNA
Bombay duck fish bornavirus	Mono-Chu	RNA virus	RNA
Paramonacanthus sulcatus filovirus	Mono-Chu	RNA virus	RNA
Nanhai filovirus 1	Mono-Chu	RNA virus	RNA
Nanhai filovirus 2	Mono-Chu	RNA virus	RNA
Nanhai filovirus 3	Mono-Chu	RNA virus	RNA
Nanhai rhabdovirus 1	Mono-Chu	RNA virus	RNA
Nanhai paramyxovirus 1	Mono-Chu	RNA virus	RNA
Nanhai paramyxovirus 2	Mono-Chu	RNA virus	RNA
Psenopsis anomala artervirus	Nido	RNA virus	RNA
Nanhai amnoonvirus 1	Orthomyxo	RNA virus	RNA
Arius arius calicivirus	Picorna	RNA virus	RNA
Bregmaceros mcclellandi picornavirus	Picorna	RNA virus	RNA
Thryssa dussumieri picornavirus	Picorna	RNA virus	RNA
Leiognathus ruconius picornavirus	Picorna	RNA virus	RNA
Polydactylus sextarius picornavirus	Picorna	RNA virus	RNA
Psenopsis anomala picornavirus	Picorna	RNA virus	RNA
Gymnothorax reevesii picornavirus	Picorna	RNA virus	RNA
Micropterus salmoides reovirus	Reo	RNA virus	RNA
Wenzhou pacific spadenose shark reovirus 2	Reo	RNA virus	RNA
Nanhai reo-like virus 1	Reo	RNA virus	RNA
Nanhai reo-like virus 2	Reo	RNA virus	RNA
Nanhai reo-like virus 4	Reo	RNA virus	RNA
Nanhai reo-like virus 5	Reo	RNA virus	RNA
Nanhai reo-like virus 6	Reo	RNA virus	RNA
Nanhai reo-like virus 7	Reo	RNA virus	RNA
Asian seabass Nervous Necrosis Virus	Tombus-Noda	RNA virus	RNA
Nanhai retrovirus 1	Ortervirales	RNA virus	RNA
Nanhai retrovirus 2	Ortervirales	RNA virus	RNA
Osteomugil cunnesius hepadna-like virus	Blubervirales	DNA virus	DNA
Nanhai hepadna-like virus 1	Blubervirales	DNA virus	DNA
Nanhai circo-like virus 2	Cirlivirales	DNA virus	DNA
Cynoglossus gracilis herpes-like virus	Herpesvirales	DNA virus	DNA
Nanhai parvovirus LTY1	Piccovirales	DNA virus	DNA
Marble sleepy goby iridovirus	Pimascovirales	DNA virus	DNA
Nanhai papillomavirus ZBTTT	Zurhausenvirales	DNA virus	DNA
Nanhai papillomavirus HM	Zurhausenvirales	DNA virus	DNA
Clostridium sp. SQHN	Bacillota	Bacteria	BACTERIA
Clostridium sp. Y	Bacillota	Bacteria	BACTERIA
Aliivibrio fischeri	Pseudomonadota	Bacteria	BACTERIA
Photobacterium sp.	Pseudomonadota	Bacteria	BACTERIA
Photobacterium damselae	Pseudomonadota	Bacteria	BACTERIA
Photobacterium damselae QLXSD	Pseudomonadota	Bacteria	BACTERIA
Photobacterium swingsii	Pseudomonadota	Bacteria	BACTERIA
Vibrio sp. Y	Pseudomonadota	Bacteria	BACTERIA
Vibrio ponticus	Pseudomonadota	Bacteria	BACTERIA
Acinetobacter johnsonii	Pseudomonadota	Bacteria	BACTERIA
Pseudomonas aeruginosa	Pseudomonadota	Bacteria	BACTERIA
Besnoitia sp. HKL	Apicomplexa	Eukaryota	EUKARYOTA
Cystoisospora sp. DSLT-2	Apicomplexa	Eukaryota	EUKARYOTA
Cystoisospora sp. DSLT-4	Apicomplexa	Eukaryota	EUKARYOTA
Sarcocystidae sp. SZMB	Apicomplexa	Eukaryota	EUKARYOTA
Sarcocystidae sp. DSLT	Apicomplexa	Eukaryota	EUKARYOTA
Toxoplasma sp. LZY	Apicomplexa	Eukaryota	EUKARYOTA
Eimeriorina sp. RWXLT	Apicomplexa	Eukaryota	EUKARYOTA
Eimeria sp. SZMB	Apicomplexa	Eukaryota	EUKARYOTA
Glugea plecoglossi	Microsporidia	Eukaryota	EUKARYOTA
Pseudoloma sp. FJ	Microsporidia	Eukaryota	EUKARYOTA
Toxocaridae sp. Z	Nematoda	Eukaryota	EUKARYOTA
Toxocara sp. CTSZ	Nematoda	Eukaryota	EUKARYOTA
Toxocara sp. HBSXST	Nematoda	Eukaryota	EUKARYOTA
Toxocara sp. LYS	Nematoda	Eukaryota	EUKARYOTA
Strigeidida sp. FJ	Platyhelminthes	Eukaryota	EUKARYOTA
Taeniidae sp. HBSZ	Platyhelminthes	Eukaryota	EUKARYOTA
Taeniidae sp. QLXSDD	Platyhelminthes	Eukaryota	EUKARYOTA
Taeniidae sp. LZY	Platyhelminthes	Eukaryota	EUKARYOTA
Opisthorchiidae sp. SZMB	Platyhelminthes	Eukaryota	EUKARYOTA
Hydatigera sp. SDYY	Platyhelminthes	Eukaryota	EUKARYOTA
Lepeophtheirus sp. SQHN	Arthropoda	Eukaryota	EUKARYOTA
Caligus sp. RWXLT	Arthropoda	Eukaryota	EUKARYOTA
