"Pathogen","Pathogen taxa","Classification","Category","Tissue","Positive_libraries","Detected"
"Wenzhou pacific spadenose shark astrovirus 2","Astro-Poty","RNA virus","RNA","Intestine",1,TRUE
"Wenzhou pacific spadenose shark astrovirus 2","Astro-Poty","RNA virus","RNA","Spleen",0,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Astro-Poty","RNA virus","RNA","Kidney",0,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Astro-Poty","RNA virus","RNA","Skin",0,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Astro-Poty","RNA virus","RNA","Gill",0,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Astro-Poty","RNA virus","RNA","Liver",0,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Astro-Poty","RNA virus","RNA","Muscles",0,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Astro-Poty","RNA virus","RNA","Brain",0,FALSE
"Nanhai astrovirus LZMB","Astro-Poty","RNA virus","RNA","Intestine",1,TRUE
"Nanhai astrovirus LZMB","Astro-Poty","RNA virus","RNA","Spleen",0,FALSE
"Nanhai astrovirus LZMB","Astro-Poty","RNA virus","RNA","Kidney",0,FALSE
"Nanhai astrovirus LZMB","Astro-Poty","RNA virus","RNA","Skin",0,FALSE
"Nanhai astrovirus LZMB","Astro-Poty","RNA virus","RNA","Gill",0,FALSE
"Nanhai astrovirus LZMB","Astro-Poty","RNA virus","RNA","Liver",0,FALSE
"Nanhai astrovirus LZMB","Astro-Poty","RNA virus","RNA","Muscles",0,FALSE
"Nanhai astrovirus LZMB","Astro-Poty","RNA virus","RNA","Brain",0,FALSE
"Cynoglossus gracilis hantavirus","Bunya-Arena","RNA virus","RNA","Intestine",0,FALSE
"Cynoglossus gracilis hantavirus","Bunya-Arena","RNA virus","RNA","Spleen",0,FALSE
"Cynoglossus gracilis hantavirus","Bunya-Arena","RNA virus","RNA","Kidney",0,FALSE
"Cynoglossus gracilis hantavirus","Bunya-Arena","RNA virus","RNA","Skin",0,FALSE
"Cynoglossus gracilis hantavirus","Bunya-Arena","RNA virus","RNA","Gill",0,FALSE
"Cynoglossus gracilis hantavirus","Bunya-Arena","RNA virus","RNA","Liver",0,FALSE
"Cynoglossus gracilis hantavirus","Bunya-Arena","RNA virus","RNA","Muscles",0,FALSE
"Cynoglossus gracilis hantavirus","Bunya-Arena","RNA virus","RNA","Brain",0,FALSE
"Telatrygon zugei hepacivirus","Flavi","RNA virus","RNA","Intestine",0,FALSE
"Telatrygon zugei hepacivirus","Flavi","RNA virus","RNA","Spleen",0,FALSE
"Telatrygon zugei hepacivirus","Flavi","RNA virus","RNA","Kidney",0,FALSE
"Telatrygon zugei hepacivirus","Flavi","RNA virus","RNA","Skin",0,FALSE
"Telatrygon zugei hepacivirus","Flavi","RNA virus","RNA","Gill",0,FALSE
"Telatrygon zugei hepacivirus","Flavi","RNA virus","RNA","Liver",1,TRUE
"Telatrygon zugei hepacivirus","Flavi","RNA virus","RNA","Muscles",0,FALSE
"Telatrygon zugei hepacivirus","Flavi","RNA virus","RNA","Brain",0,FALSE
"Odontamblyopus rubicundus hepacivirus","Flavi","RNA virus","RNA","Intestine",1,TRUE
"Odontamblyopus rubicundus hepacivirus","Flavi","RNA virus","RNA","Spleen",2,TRUE
"Odontamblyopus rubicundus hepacivirus","Flavi","RNA virus","RNA","Kidney",1,TRUE
"Odontamblyopus rubicundus hepacivirus","Flavi","RNA virus","RNA","Skin",1,TRUE
"Odontamblyopus rubicundus hepacivirus","Flavi","RNA virus","RNA","Gill",1,TRUE
"Odontamblyopus rubicundus hepacivirus","Flavi","RNA virus","RNA","Liver",2,TRUE
"Odontamblyopus rubicundus hepacivirus","Flavi","RNA virus","RNA","Muscles",1,TRUE
"Odontamblyopus rubicundus hepacivirus","Flavi","RNA virus","RNA","Brain",0,FALSE
"Johnius belangerii hepacivirus","Flavi","RNA virus","RNA","Intestine",0,FALSE
