"group1","group2","n_pairs","n_zero_differences","wilcoxon_V","median_difference_log10","median_difference_RPM","paired_rank_biserial_r","p_value","p_BH","significant_BH","significance_BH","effect_direction","x1","x2"
"Intestine","Spleen",112,58,686,0,0,-0.0760942760942761,0.629683618124828,0.734630887812299,FALSE,"ns","group1 < group2",1,2
"Intestine","Skin",112,53,1150,0,0,0.299435028248588,0.0458860891008167,0.0754240621086031,FALSE,"ns","group1 > group2",1,3
"Intestine","Kidney",112,62,842,0,0,0.32078431372549,0.0489222263070731,0.0754240621086031,FALSE,"ns","group1 > group2",1,4
"Intestine","Liver",112,62,840,0,0,0.317647058823529,0.051180613573695,0.0754240621086031,FALSE,"ns","group1 > group2",1,5
"Intestine","Gill",112,63,959,0,0,0.565714285714286,0.000577934348194446,0.00292981586195032,TRUE,"**","group1 > group2",1,6
"Intestine","Muscles",112,62,944,0,0,0.48078431372549,0.00313782336931997,0.00878590543409591,TRUE,"**","group1 > group2",1,7
"Intestine","Brain",112,64,1081,0,0,0.83843537414966,4.38701879772873e-07,1.22836526336404e-05,TRUE,"****","group1 > group2",1,8
"Spleen","Skin",112,64,779,0,0,0.324829931972789,0.0507163748921595,0.0754240621086031,FALSE,"ns","group1 > group2",2,3
"Spleen","Kidney",112,70,691,0,0,0.530454042081949,0.00280464622326996,0.00872556602795098,TRUE,"**","group1 > group2",2,4
"Spleen","Liver",112,70,642,0,0,0.421926910299003,0.0175158819777534,0.0408703912814246,TRUE,"*","group1 > group2",2,5
"Spleen","Gill",112,73,685,0,0,0.756410256410256,3.96093035425062e-05,0.000369686833063391,TRUE,"***","group1 > group2",2,6
"Spleen","Muscles",112,74,609,0,0,0.643724696356275,0.000557393801224463,0.00292981586195032,TRUE,"**","group1 > group2",2,7
"Spleen","Brain",112,74,681,0,0,0.838056680161943,6.93396660304472e-06,9.70755324426261e-05,TRUE,"****","group1 > group2",2,8
"Skin","Kidney",112,67,533,0,0,0.029951690821256,0.86555023456245,0.897607650657355,FALSE,"ns","group1 > group2",3,4
"Skin","Liver",112,69,468,0,0,-0.0105708245243129,0.956666443537914,0.956666443537914,FALSE,"ns","group1 < group2",3,5
"Skin","Gill",112,74,509,0,0,0.373819163292847,0.0453585572894426,0.0754240621086031,FALSE,"ns","group1 > group2",3,6
"Skin","Muscles",112,74,525,0,0,0.417004048582996,0.0255258427498293,0.0549787382304016,FALSE,"ns","group1 > group2",3,7
"Skin","Brain",112,72,655,0,0,0.597560975609756,0.00101477809094568,0.00386076984304999,TRUE,"**","group1 > group2",3,8
"Kidney","Liver",112,76,347,0,0,0.042042042042042,0.832034666693479,0.896037333362208,FALSE,"ns","group1 > group2",4,5
"Kidney","Gill",112,78,396,0,0,0.33109243697479,0.0938443104858797,0.131382034680232,FALSE,"ns","group1 > group2",4,6
"Kidney","Muscles",112,79,357,0,0,0.272727272727273,0.174477958797536,0.22206285665141,FALSE,"ns","group1 > group2",4,7
"Kidney","Brain",112,78,498,0,0,0.673949579831933,0.000627817684703641,0.00292981586195032,TRUE,"**","group1 > group2",4,8
"Liver","Gill",112,79,372,0,0,0.32620320855615,0.103955515734796,0.138607354313061,FALSE,"ns","group1 > group2",5,6
"Liver","Muscles",112,82,297,0,0,0.27741935483871,0.188048638968617,0.228928777874838,FALSE,"ns","group1 > group2",5,7
"Liver","Brain",112,81,415,0,0,0.673387096774194,0.00110307709801428,0.00386076984304999,TRUE,"**","group1 > group2",5,8
"Gill","Muscles",112,84,191,0,0,-0.0591133004926108,0.793420613685745,0.888631087328035,FALSE,"ns","group1 < group2",6,7
"Gill","Brain",112,86,283,0,0,0.612535612535613,0.0065760546776229,0.0167390482703128,TRUE,"*","group1 > group2",6,8
"Muscles","Brain",112,85,279,0,0,0.476190476190476,0.0315364403470999,0.0630728806941997,FALSE,"ns","group1 > group2",7,8
