"lib_index","abundance_RPM","individual_id","tissue_types","log10_RPM_plus_1"
"YS-BGY-1-I",16.0757305,"YS-BGY-1","Intestine",1.23237929187526
"YS-BGY-2-I",11.82698939,"YS-BGY-2","Intestine",1.10812473550679
"YS-BGY-3-I",0,"YS-BGY-3","Intestine",0
"YS-BJ-1-I",0,"YS-BJ-1","Intestine",0
"YS-BJ-2-I",0,"YS-BJ-2","Intestine",0
"YS-BJ-3-I",0,"YS-BJ-3","Intestine",0
"YS-CBLT-1-I",0,"YS-CBLT-1","Intestine",0
"YS-CBLT-2-I",0,"YS-CBLT-2","Intestine",0
"YS-CBLT-3-I",0,"YS-CBLT-3","Intestine",0
"YS-CC-1-I",0,"YS-CC-1","Intestine",0
"YS-CC-2-I",10.70757265,"YS-CC-2","Intestine",1.0684668614271
"YS-CC-3-I",10.87835742,"YS-CC-3","Intestine",1.07475638906681
"YS-CHLT-1-I",0,"YS-CHLT-1","Intestine",0
"YS-CHLT-2-I",0,"YS-CHLT-2","Intestine",0
"YS-CHLT-3-I",4.852144406,"YS-CHLT-3","Intestine",0.767315034123673
"YS-CTSZ-1-I",0,"YS-CTSZ-1","Intestine",0
"YS-CTSZ-2-I",0,"YS-CTSZ-2","Intestine",0
"YS-CTSZ-3-I",1.806629474,"YS-CTSZ-3","Intestine",0.448185081669444
"YS-DHY-1-I",0,"YS-DHY-1","Intestine",0
"YS-DHY-2-I",0,"YS-DHY-2","Intestine",0
"YS-DLLY-1-I",0,"YS-DLLY-1","Intestine",0
"YS-DSLT-1-I",0,"YS-DSLT-1","Intestine",0
"YS-DSLT-2-I",1.18326763,"YS-DSLT-2","Intestine",0.339106975795266
"YS-DSLT-3-I",0,"YS-DSLT-3","Intestine",0
"YS-DZTT-1-I",0,"YS-DZTT-1","Intestine",0
"YS-HBSZ-1-I",0,"YS-HBSZ-1","Intestine",0
"YS-HBSZ-2-I",26.17524847,"YS-HBSZ-2","Intestine",1.43417352363806
"YS-HBSZ-3-I",1.886031544,"YS-HBSZ-3","Intestine",0.460301073573231
"YS-HJ-1-I",0,"YS-HJ-1","Intestine",0
"YS-HJ-2-I",0,"YS-HJ-2","Intestine",0
"YS-HJ-3-I",0,"YS-HJ-3","Intestine",0
"YS-HJ-4-I",0,"YS-HJ-4","Intestine",0
"YS-HJ-5-I",0,"YS-HJ-5","Intestine",0
"YS-HJ-6-I",0,"YS-HJ-6","Intestine",0
"YS-HKL-1-I",7.223903282,"YS-HKL-1","Intestine",0.915077994119501
"YS-HKL-2-I",1.071833613,"YS-HKL-2","Intestine",0.316354874694099
"YS-HKL-3-I",0,"YS-HKL-3","Intestine",0
"YS-HM-1-I",0,"YS-HM-1","Intestine",0
"YS-HM-2-I",0,"YS-HM-2","Intestine",0
"YS-HM-3-I",0,"YS-HM-3","Intestine",0
"YS-HM-4-I",2.320538466,"YS-HM-4","Intestine",0.521208515586692
"YS-HSLT-1-I",0,"YS-HSLT-1","Intestine",0
"YS-HSLT-2-I",0,"YS-HSLT-2","Intestine",0
"YS-HSLT-3-I",0,"YS-HSLT-3","Intestine",0
"YS-JSXSD-1-I",0,"YS-JSXSD-1","Intestine",0
"YS-JSXSD-2-I",45.07048289,"YS-JSXSD-2","Intestine",1.6634227643552
"YS-JSXSD-3-I",0,"YS-JSXSD-3","Intestine",0
"YS-JTZCS-1-I",23.420298954,"YS-JTZCS-1","Intestine",1.38775097628691
"YS-JXY-1-I",0,"YS-JXY-1","Intestine",0
"YS-JXY-2-I",0,"YS-JXY-2","Intestine",0
"YS-JXY-3-I",6.523218127,"YS-JXY-3","Intestine",0.876403653867457
"YS-JZH-1-I",0,"YS-JZH-1","Intestine",0
"YS-JZH-2-I",0,"YS-JZH-2","Intestine",0
"YS-JZH-3-I",0,"YS-JZH-3","Intestine",0
"YS-KSCDXGY-1-I",0,"YS-KSCDXGY-1","Intestine",0
"YS-KSCDXGY-2-I",0,"YS-KSCDXGY-2","Intestine",0
"YS-KSCDXGY-3-I",0,"YS-KSCDXGY-3","Intestine",0
"YS-LBYKF-1-I",0,"YS-LBYKF-1","Intestine",0
"YS-LBYKF-2-I",1.056071791,"YS-LBYKF-2","Intestine",0.313038274667023
"YS-LBYKF-3-I",0,"YS-LBYKF-3","Intestine",0
"YS-LTY-1-I",183.653526976,"YS-LTY-1","Intestine",2.26635760731105
"YS-LTY-2-I",31.54109606,"YS-LTY-2","Intestine",1.51243217689811
"YS-LTY-3-I",68.969732846,"YS-LTY-3","Intestine",1.84491021571964
"YS-LY-2-I",2.756101081,"YS-LY-2","Intestine",0.574737271115329
"YS-LY-3-I",0,"YS-LY-3","Intestine",0
"YS-LYS-3-I",0,"YS-LYS-3","Intestine",0
"YS-LYXHY-1-I",0,"YS-LYXHY-1","Intestine",0
"YS-LYXHY-2-I",0,"YS-LYXHY-2","Intestine",0
"YS-LYXHY-3-I",10.609712601,"YS-LYXHY-3","Intestine",1.06482146889062
"YS-LZMB-1-I",15.57090346,"YS-LZMB-1","Intestine",1.2193461871759
"YS-LZMB-2-I",0,"YS-LZMB-2","Intestine",0
"YS-LZMB-3-I",97.811956326,"YS-LZMB-3","Intestine",1.99480949774796
"YS-LZY-1-I",0,"YS-LZY-1","Intestine",0
"YS-LZY-2-I",1.980423402,"YS-LZY-2","Intestine",0.474277964777744
"YS-LZY-3-I",0,"YS-LZY-3","Intestine",0
"YS-MSXX-1-I",190.0773314,"YS-MSXX-1","Intestine",2.28120916726514
"YS-MSXX-2-I",20.15882667,"YS-MSXX-2","Intestine",1.32549158090224
"YS-MSXX-3-I",199.88172085,"YS-MSXX-3","Intestine",2.30294042009743
"YS-PSJGY-1-I",0,"YS-PSJGY-1","Intestine",0
"YS-PSJGY-2-I",0,"YS-PSJGY-2","Intestine",0
"YS-PSJGY-3-I",0,"YS-PSJGY-3","Intestine",0
"YS-QLXSD-1-I",1.021428867,"YS-QLXSD-1","Intestine",0.305658463348188
"YS-QLXSD-2-I",0,"YS-QLXSD-2","Intestine",0
"YS-QLXSD-3-I",2.702156865,"YS-QLXSD-3","Intestine",0.568454816405162
"YS-QXDDY-1-I",88.49325286,"YS-QXDDY-1","Intestine",1.95179029390667
"YS-QXDDY-2-I",23.888914418,"YS-QXDDY-2","Intestine",1.39600595436054
"YS-QXDDY-3-I",0,"YS-QXDDY-3","Intestine",0
