"Pathogen","Sample","RPM","Classification"
"Polydactylus sextarius picornavirus","YS-LZMB-1",888.459941682,"RNA virus"
"Wenzhou pacific spadenose shark reovirus 2","YS-JTZCS-1",190.994086712,"RNA virus"
"Bregmaceros mcclellandi picornavirus","YS-MSXX-3",146.3644565,"RNA virus"
"Nanhai paramyxovirus 2","YS-CC-3",98.95624699,"RNA virus"
"Johnius belangerii hepacivirus","YS-PSJGY-1",98.359796721,"RNA virus"
"Micropterus salmoides reovirus","YS-CHLT-3",89.543969974,"RNA virus"
"Toxocara sp. LYS","YS-LYS-3",56.91000595,"Eukaryota"
"Nanhai astrovirus LZMB","YS-LZMB-3",46.85670635,"RNA virus"
"Nanhai papillomavirus ZBTTT","YS-ZBTTT-1",33.784144671,"DNA virus"
"Nanhai parvovirus LTY1","YS-LTY-1",32.992962236,"DNA virus"
"Psenopsis anomala artervirus","YS-CC-1",29.0580279,"RNA virus"
"Nanhai paramyxovirus 1","YS-CBLT-1",23.44087083,"RNA virus"
"Nanhai circo-like virus 2","YS-CTSZ-3",19.534856705,"DNA virus"
"Wenzhou pacific spadenose shark astrovirus 2","YS-JTZCS-1",15.92392214,"RNA virus"
"Nanhai hepadna-like virus 1","YS-DZTT-1",9.478248646,"DNA virus"
"Taeniidae sp. LZY","YS-HBSZ-2",9.097684226,"Eukaryota"
"Telatrygon zugei hepacivirus","YS-JZH-2",8.640509703,"RNA virus"
"Sarcocystidae sp. SZMB","YS-SZMB-1",7.58665266,"Eukaryota"
"Pseudomonas aeruginosa","YS-HBSZ-2",5.26856028229636,"Bacteria"
"Eimeria sp. SZMB","YS-SZMB-1",4.878736848,"Eukaryota"
"Nanhai reo-like virus 1","YS-CTSZ-2",4.676004451,"RNA virus"
"Osteomugil cunnesius hepadna-like virus","YS-Z-1",4.471772337,"DNA virus"
"Cystoisospora_sp._DSLT-2","YS-DSLT-2",3.862580862,"Eukaryota"
"Toxoplasma sp. LZY","YS-SZMB-1",3.407034189,"Eukaryota"
"Toxocaridae sp. Z","YS-Z-2",2.386423846,"Eukaryota"
"Besnoitia sp. HKL","YS-HKL-1",2.134007357,"Eukaryota"
"Lepeophtheirus sp. SQHN","YS-SQHN-1",2.05640055529669,"Eukaryota"
"Photobacterium swingsii","YS-RWXLT-3",1.985962972,"Bacteria"
"Eimeriorina sp. RWXLT","YS-RWXLT-3",1.781480045,"Eukaryota"
"Nanhai filovirus 3","YS-DSLT-2",1.712438238,"RNA virus"
"Psenopsis anomala picornavirus","YS-CC-3",1.561549497,"RNA virus"
"Nanhai papillomavirus HM","YS-HM-1",1.538723882,"DNA virus"
"Opisthorchiidae sp. SZMB","YS-SZMB-1",1.240796743,"Eukaryota"
"Sarcocystidae sp. DSLT","YS-DSLT-2",1.18326763,"Eukaryota"
"Clostridium sp. SQHN","YS-SQHN-1",1.162309146,"Bacteria"
"Pseudoloma sp. FJ","YS-RWXLT-2",1.062634002,"Eukaryota"
"Nanhai filovirus 2","YS-DHY-2",0.634575993,"RNA virus"
"Nanhai rhabdovirus 1","YS-LZMB-3",0.354545296,"RNA virus"
"Nanhai amnoonvirus 1","YS-DLLY-1",0.16062127,"RNA virus"
"Bombay duck fish bornavirus","YS-LTY-3",809.59063465,"RNA virus"
"Bombay duck fish bornavirus","YS-LTY-1",4766.4064699,"RNA virus"
"Nanhai reo-like virus 4","YS-JXY-3",4231.525576077,"RNA virus"
"Nanhai reo-like virus 4","YS-JXY-1",289.1167171,"RNA virus"
"Nanhai reo-like virus 2","YS-CTSZ-1",1284.09067073,"RNA virus"
"Nanhai reo-like virus 2","YS-CTSZ-2",1345.109339667,"RNA virus"
"Nanhai reo-like virus 7","YS-LYXHY-1",24.536209526,"RNA virus"
"Nanhai reo-like virus 7","YS-LYXHY-3",2167.235718622,"RNA virus"
"Odontamblyopus rubicundus hepacivirus","YS-LYXHY-2",287.873939865,"RNA virus"
"Odontamblyopus rubicundus hepacivirus","YS-LYXHY-3",476.13576449,"RNA virus"
"Nanhai retrovirus 2","YS-QXDDY-3",239.657571006,"RNA virus"
"Nanhai retrovirus 2","YS-QXDDY-2",1.162927135,"RNA virus"
"Glugea plecoglossi","YS-JSXSD-2",103.038103777,"Eukaryota"
"Glugea plecoglossi","YS-JSXSD-3",1.097242994,"Eukaryota"
"Marble sleepy goby iridovirus","YS-LZY-1",24.9225628,"DNA virus"
"Marble sleepy goby iridovirus","YS-LZY-2",40.2309134,"DNA virus"
"Arius arius calicivirus","YS-SQHN-2",43.335984077,"RNA virus"
