"Pathogen","Host_count","Total_RPM","log10_RPM_plus1","Display_label","Classification","Pathogen_order","Multiplicity_group"
"Polydactylus sextarius picornavirus",1,888.459941682,2.94912639368109,"Poly. sextarius picornavirus","RNA virus",1,"Single"
"Wenzhou pacific spadenose shark reovirus 2",1,190.994086712,2.28328785293326,"Wenzhou ps shark reovirus 2","RNA virus",2,"Single"
"Bregmaceros mcclellandi picornavirus",1,146.3644565,2.16839274670248,"Breg. mcclellandi picornavirus","RNA virus",3,"Single"
"Nanhai paramyxovirus 2",1,98.95624699,1.99980994151072,"Nanhai paramyxovirus 2","RNA virus",4,"Single"
"Johnius belangerii hepacivirus",1,98.359796721,1.99721069431561,"Johnius belangerii hepacivirus","RNA virus",5,"Single"
"Micropterus salmoides reovirus",1,89.543969974,1.95685953257146,"Micropterus salmoides reovirus","RNA virus",6,"Single"
"Toxocara sp. LYS",1,56.91000595,1.76275360955524,"Toxocara sp. LYS","Eukaryota",7,"Single"
"Nanhai astrovirus LZMB",1,46.85670635,1.67994280578511,"Nanhai astrovirus LZMB","RNA virus",8,"Single"
"Nanhai papillomavirus ZBTTT",1,33.784144671,1.54138132868743,"Nanhai papillomavirus ZBTTT","DNA virus",9,"Single"
"Nanhai parvovirus LTY1",1,32.992962236,1.53138901179381,"Nanhai parvovirus LTY1","DNA virus",10,"Single"
"Psenopsis anomala artervirus",1,29.0580279,1.47796048322881,"Psenopsis anomala artervirus","RNA virus",11,"Single"
"Nanhai paramyxovirus 1",1,23.44087083,1.38811667579008,"Nanhai paramyxovirus 1","RNA virus",12,"Single"
"Nanhai circo-like virus 2",1,19.534856705,1.31249167663477,"Nanhai circo-like virus 2","DNA virus",13,"Single"
"Wenzhou pacific spadenose shark astrovirus 2",1,15.92392214,1.22850101865369,"Wenzhou ps shark astrovirus 2","RNA virus",14,"Single"
"Nanhai hepadna-like virus 1",1,9.478248646,1.02028869992454,"Nanhai hepadna-like virus 1","DNA virus",15,"Single"
"Taeniidae sp. LZY",1,9.097684226,1.00422178534838,"Taeniidae sp. LZY","Eukaryota",16,"Single"
"Telatrygon zugei hepacivirus",1,8.640509703,0.984099996075903,"Telatrygon zugei hepacivirus","RNA virus",17,"Single"
"Sarcocystidae sp. SZMB",1,7.58665266,0.93382389554152,"Sarcocystidae sp. SZMB","Eukaryota",18,"Single"
"Pseudomonas aeruginosa",1,5.26856028229636,0.797167806659829,"Pseudomonas aeruginosa","Bacteria",19,"Single"
"Eimeria sp. SZMB",1,4.878736848,0.769284020144965,"Eimeria sp. SZMB","Eukaryota",20,"Single"
"Nanhai reo-like virus 1",1,4.676004451,0.754042727349915,"Nanhai reo-like virus 1","RNA virus",21,"Single"
"Osteomugil cunnesius hepadna-like virus",1,4.471772337,0.73812801947933,"Osteo. cunnesius hepadna-like virus","DNA virus",22,"Single"
"Cystoisospora_sp._DSLT-2",1,3.862580862,0.686866836468139,"Cystoisospora sp. DSLT-2","Eukaryota",23,"Single"
"Toxoplasma sp. LZY",1,3.407034189,0.644146419703576,"Toxoplasma sp. LZY","Eukaryota",24,"Single"
"Toxocaridae sp. Z",1,2.386423846,0.529741313624988,"Toxocaridae sp. Z","Eukaryota",25,"Single"
"Besnoitia sp. HKL",1,2.134007357,0.496100011628664,"Besnoitia sp. HKL","Eukaryota",26,"Single"
"Lepeophtheirus sp. SQHN",1,2.05640055529669,0.485210269915266,"Lepeophtheirus sp. SQHN","Eukaryota",27,"Single"
"Photobacterium swingsii",1,1.985962972,0.47508441787133,"Photobacterium swingsii","Bacteria",28,"Single"
"Eimeriorina sp. RWXLT",1,1.781480045,0.444275948556022,"Eimeriorina sp. RWXLT","Eukaryota",29,"Single"
"Nanhai filovirus 3",1,1.712438238,0.433359858118829,"Nanhai filovirus 3","RNA virus",30,"Single"
"Psenopsis anomala picornavirus",1,1.561549497,0.408502752196073,"Psenopsis anomala picornavirus","RNA virus",31,"Single"
"Nanhai papillomavirus HM",1,1.538723882,0.404615468481155,"Nanhai papillomavirus HM","DNA virus",32,"Single"
"Opisthorchiidae sp. SZMB",1,1.240796743,0.350402464568566,"Opisthorchiidae sp. SZMB","Eukaryota",33,"Single"
"Sarcocystidae sp. DSLT",1,1.18326763,0.339106975795266,"Sarcocystidae sp. DSLT","Eukaryota",34,"Single"
"Clostridium sp. SQHN",1,1.162309146,0.334917785271232,"Clostridium sp. SQHN","Bacteria",35,"Single"
"Pseudoloma sp. FJ",1,1.062634002,0.314422172707402,"Pseudoloma sp. FJ","Eukaryota",36,"Single"
"Nanhai filovirus 2",1,0.634575993,0.213405116151244,"Nanhai filovirus 2","RNA virus",37,"Single"
"Nanhai rhabdovirus 1",1,0.354545296,0.131793532421189,"Nanhai rhabdovirus 1","RNA virus",38,"Single"
"Nanhai amnoonvirus 1",1,0.16062127,0.0646905253522278,"Nanhai amnoonvirus 1","RNA virus",39,"Single"
"Bombay duck fish bornavirus",2,5575.99710455,3.74640041901581,"Bombay duck fish bornavirus","RNA virus",40,"Twice"
"Nanhai reo-like virus 4",2,4520.642293177,3.6552962023605,"Nanhai reo-like virus 4","RNA virus",41,"Twice"
"Nanhai reo-like virus 2",2,2629.200010397,3.41998877514715,"Nanhai reo-like virus 2","RNA virus",42,"Twice"
"Nanhai reo-like virus 7",2,2191.771928148,3.34099346273189,"Nanhai reo-like virus 7","RNA virus",43,"Twice"
