"Sample","Pathogen_count","Total_RPM","log10_RPM_plus1","Sample_order","Multiplicity_group"
"YS-JXY-3",1,4231.525576077,3.62659959112015,1,"Single"
"YS-HM-4",1,581.605142993,2.76537431407747,2,"Single"
"YS-MSXX-1",1,291.012321941,2.46540117760621,3,"Single"
"YS-JXY-1",1,289.1167171,2.46257275443213,4,"Single"
"YS-LYXHY-2",1,287.873939865,2.46070836467799,5,"Single"
"YS-QXDDY-1",1,194.46415536,2.29106712717108,6,"Single"
"YS-MSXX-2",1,163.803877334,2.21696742510959,7,"Single"
"YS-HM-2",1,150.912684449,2.18159403822232,8,"Single"
"YS-HM-3",1,124.239354805,2.09774082159778,9,"Single"
"YS-JSXSD-2",1,103.038103777,2.01719242804238,10,"Single"
"YS-PSJGY-1",1,98.359796721,1.99721069431561,11,"Single"
"YS-CHLT-3",1,89.543969974,1.95685953257146,12,"Single"
"YS-BGY-2",1,65.88998327,1.8253610873303,13,"Single"
"YS-LTY-2",1,37.100606105,1.58093188449355,14,"Single"
"YS-CC-1",1,29.0580279,1.47796048322881,15,"Single"
"YS-LBYKF-3",1,26.50888192,1.43947293914133,16,"Single"
"YS-LZY-1",1,24.9225628,1.41367793527256,17,"Single"
"YS-LYXHY-1",1,24.536209526,1.4071564330953,18,"Single"
"YS-CBLT-1",1,23.44087083,1.38811667579008,19,"Single"
"YS-BGY-1",1,17.70900126,1.27205060423716,20,"Single"
"YS-CC-2",1,10.70757265,1.0684668614271,21,"Single"
"YS-DZTT-1",1,9.478248646,1.02028869992454,22,"Single"
"YS-JZH-2",1,8.640509703,0.984099996075903,23,"Single"
"YS-LBYKF-1",1,6.653213008,0.883843800995939,24,"Single"
"YS-Z-1",1,4.471772337,0.73812801947933,25,"Single"
"YS-LY-2",1,2.756101081,0.574737271115329,26,"Single"
"YS-QLXSD-3",1,2.702156865,0.568454816405162,27,"Single"
"YS-Z-2",1,2.386423846,0.529741313624988,28,"Single"
"YS-HBSZ-3",1,1.886031544,0.460301073573231,29,"Single"
"YS-HJ-3",1,1.831828347,0.452066924791022,30,"Single"
"YS-DSLT-3",1,1.608124087,0.416328250026671,31,"Single"
"YS-Y-1",1,1.532440302,0.403539216394583,32,"Single"
"YS-RBJXY-1",1,1.453424224,0.389772648986236,33,"Single"
"YS-JSXSD-1",1,1.382806351,0.377088748972795,34,"Single"
"YS-JSXSD-3",1,1.097242994,0.32164875227722,35,"Single"
"YS-HKL-2",1,1.071833613,0.316354874694099,36,"Single"
"YS-LBYKF-2",1,1.056071791,0.313038274667023,37,"Single"
"YS-QLXSD-1",1,1.021428867,0.305658463348188,38,"Single"
"YS-DLLY-1",1,0.16062127,0.0646905253522278,39,"Single"
"YS-LYXHY-3",2,2643.371483112,3.4223224650848,40,"Twice"
"YS-LZMB-1",2,914.002614591,2.96142233505095,41,"Twice"
"YS-LTY-3",2,850.116266906,2.92998889102075,42,"Twice"
"YS-MSXX-3",2,429.30187568,2.6337732391704,43,"Twice"
"YS-JTZCS-1",2,206.918008852,2.31789210744751,44,"Twice"
"YS-LYS-3",2,67.49622548,1.83566664012932,45,"Twice"
"YS-ZBTTT-1",2,46.257712948,1.67447269998578,46,"Twice"
"YS-SQHN-2",2,45.830839442,1.67053194257305,47,"Twice"
"YS-LZY-2",2,42.211336802,1.63559770201481,48,"Twice"
"YS-HM-1",2,21.506626102,1.35231039615089,49,"Twice"
"YS-Y-2",2,15.603460444,1.22019861184206,50,"Twice"
"YS-SDYY-2",2,7.503498547,0.929597641838392,51,"Twice"
"YS-DHY-2",2,2.795278618,0.579243663714597,52,"Twice"
"YS-LTY-1",3,4818.169838166,3.68297223206559,53,"Triple"
"YS-QXDDY-3",3,777.458018051,2.89123519619711,54,"Triple"
"YS-CC-3",3,109.83460441,2.04467537553676,55,"Triple"
"YS-LZMB-3",3,97.811956326,1.99480949774796,56,"Triple"
"YS-CTSZ-3",3,32.36271705,1.52326141222264,57,"Triple"
"YS-HSLT-1",3,9.516818808,1.02188439161773,58,"Triple"
"YS-SQHN-1",3,9.36534196329669,1.01558363448805,59,"Triple"
"YS-HSLT-3",3,4.609350883,0.748912607380609,60,"Triple"
"YS-CTSZ-1",4,1333.710884434,3.12538720211029,61,"Quadruple"
"YS-SDYY-1",4,30.760447915,1.50188661861782,62,"Quadruple"
"YS-SZMB-1",4,17.11322044,1.25799567256586,63,"Quadruple"
"YS-HKL-1",4,10.7753561421028,1.07097405110548,64,"Quadruple"
"YS-ZBTTT-3",4,8.683560431,0.986035067146823,65,"Quadruple"
"YS-CTSZ-2",5,1368.861800842,3.13667675536141,66,"Quintuple and more"
"YS-RWXLT-3",5,76.342715058,1.88841941358668,67,"Quintuple and more"
"YS-DSLT-2",5,40.1859533686293,1.61474912344445,68,"Quintuple and more"
"YS-HBSZ-2",5,38.1594670692964,1.59283677275217,69,"Quintuple and more"
"YS-QXDDY-2",5,23.888914418,1.39600595436054,70,"Quintuple and more"
"YS-RWXLT-1",6,51.3876380736835,1.71922881847678,71,"Quintuple and more"
"YS-RWXLT-2",7,54.0156540098147,1.74048628009031,72,"Quintuple and more"
